sp	activity	reference
Syzygium cumini (L.) Skeels	Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antibacterial(抗菌);Antidote (nux-vomica)(解毒剤、ホミカ);Antiedemic(抗浮腫性);Antifertility(避妊);Antigenotoxic(抗遺伝毒性);Antihistaminic(抗ヒスタミン薬);Antihyperglycemic(血糖降下);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiulcerogenic(抗潰瘍);Aphrodisiac(媚薬);Astringent(収斂性);Bactericide(殺菌剤);Carminative(駆風薬);Cerebroprotective(脳保護);Depurative(浄化作用);Diuretic(利尿薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤);Hepatotonic;Hypoglycemic(低血糖);Insulinogenic(インスリン生成);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Radioprotective(放射線防護);Stomachic(健胃薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Tabebuia barbata (E.Mey.) Sandwith	Anticancer(抗ガン);Antiseptic(防腐剤);Antitumor(抗腫瘍);Cytotoxic(細胞毒性);Insecticide(殺虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Tabebuia rosea (Bertol.) DC.	Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Antidote(解毒剤);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antiophidic(抗ヘビ毒);Antirabies(抗狂犬病);Antiseptic(防腐剤);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Bactericide(殺菌剤);Candidicide;Cicatrizant(瘢痕形成薬);CNS-stimulant(中枢神経系刺激剤);Cytotoxic(細胞毒性);Emetic(催吐薬);Febrifuge(解熱剤);Gram(-)-incide(殺グラム陰性菌薬);Gram(+)-incide(殺グラム陽性菌薬);Immunostimulant(免疫賦活剤);Immunosuppressant(免疫抑制剤);Molluscicide(軟体動物駆除剤);Reverse Transcriptase Inhibitor(逆転写酵素阻害);Sudorific(発汗促進);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Tabebuia spp.	Abortifacient(堕胎薬);Alexeteric(解毒作用);Analgesic(鎮痛剤);Anti-multiple drug resistance(抗多剤耐性);Antiaggregant(抗血小板剤);Antibacterial(抗菌);Anticancer(抗ガン);Anticarcinogenic(抗発ガン性);Antidote(解毒剤);Antiedemic(抗浮腫性);Antiestrogenic(抗エストロゲン性);Antiexudative(抗浸潤性);Antihemorrhagic(抗出血性);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antilymphosarcomic(リンパ腫);Antimelanomic(抗黒皮症);Antimetastatic(抗転移);Antioxidant(酸化防止剤);Antiparasitic(抗寄生虫性);Antiproliferative(抗増殖性);Antipsoriatic(抗乾癬性関節炎);Antipyretic(解熱薬);Antiradicular(抗神経根);Antiretroviral(抗レトロウイルス薬);Antirheumatic(抗リウマチ剤);Antisarcomic;Antiseptic(防腐剤);Antitelomerase(抗テロメラーゼ);Antitumor(抗腫瘍);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Apoptotic(アポトーシス);Astringent(収斂性);Bactericide(殺菌剤);Candidicide;Chemopreventive(化学防御);Cicatrizant(瘢痕形成薬);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Cytotoxic(細胞毒性);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Estrogenic(エストロゲン);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hypoglycemic(低血糖);Immunodepressant(免疫抑制剤);Immunostimulant(免疫賦活剤);Insecticide(殺虫剤);Laxative(下剤);Parasiticide(虫下し、駆虫薬);Plasmodicide(抗マラリア薬);Protisticide(原生生物駆除剤);Respirastimulant(呼吸刺激剤);Reverse Transcriptase Inhibitor(逆転写酵素阻害);Schistosomacide(殺住血吸虫薬);Secretolytic;Termiticide(シロアリ駆除薬);Tonic(強壮剤);Trypanosomicide(抗トリパノソーマ薬);Vitamin K antagonist(ビタミンK-拮抗薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Tabernaemontana citrifolia L.	Analgesic(鎮痛剤);Antiseptic(防腐剤);Bactericide(殺菌剤);Febrifuge(解熱剤);Hemostat(止血剤);Purgative(下剤);Tonic(強壮剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Tabernaemontana sananho Ruiz & Pav.	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Cardiac(心臓);Contraceptive(避妊薬);Emetic(催吐薬);Sedative(鎮静剤);Sudorific(発汗促進);Tonic(強壮剤);Tranquilizer(精神安定剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Tabernanthe iboga Baill.	Anesthetic(麻酔薬);Antiaddictive(抗習慣性);Anticholinesterase(抗コリンエステラーゼ);Antipyretic(解熱薬);Aperitif(食前酒);Aphrodisiac(媚薬);Cardiosedative;CNS-stimulant(中枢神経系刺激剤);Hallucinogen(幻覚剤);Hypertensive(高血圧);Hypotensive(低血圧);Narcotic(麻薬);Negative inotropic(陰性変力作用);Prolactinogenic;Respiradepressant(呼吸抑制剤);Stimulant(興奮薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Tagetes erecta L.	Aldose reductase inhibitor(アルドース還元酵素阻害剤);Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antibacterial(抗菌);Anticancer(抗ガン);Antimutagenic(抗突然変異性);Bactericide(殺菌剤);Bat repellant(コウモリ忌避剤);Carminative(駆風薬);Collyrium(洗眼液);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Gram(+)-incide(殺グラム陽性菌薬);Hematostat(止血薬);Insecticide(殺虫剤);Laxative(下剤);Nematocide(抗線虫剤);Pectoral(胸筋);Purgative(下剤);Sedative(鎮静剤);Stimulant(興奮薬);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Tagetes lucida Cav.	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antiaggregant(抗血小板剤);Antibacterial(抗菌);Anticholinergic(抗コリン作用薬);Antidote(解毒剤);Antidote (scorpion)(解毒剤、サソリ);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiradicular(抗神経根);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Bactericide(殺菌剤);Bronchodilator(気管支拡張剤);Candidicide;CNS-depressant(中枢神経系抑制剤);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);Fungicide(殺菌剤、防カビ剤);Hallucinogenic(幻覚生成);Hypotensive(低血圧);Immunomodulator(免疫修飾因子);Lyphocytogenic;Morelaxant;Mosquitocide(防蚊剤);Myorelaxant(筋肉弛緩薬);Nematocide(抗線虫剤);Pediculicide(シラミ駆除剤);Tachycardic(頻脈);Uterorelaxant(子宮弛緩薬);Vibriocide(殺ビブリオ菌剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Swartzia polyphylla DC.	Analgesic(鎮痛剤);Anticariogenic(う蝕);Antiinflammatory(抗炎症);Antimycobacterial(抗ミコバクテリア);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Bactericide(殺菌剤);Candidicide;Collyrium(洗眼液);Estrogenic(エストロゲン);Fungicide(殺菌剤、防カビ剤);Gram(+)-incide(殺グラム陽性菌薬);Larvicide(幼虫駆除剤);Mycobactericide(殺マイコプラズマ菌性);Protein kinase C inhibitor(プロテインキナーゼC阻害剤);Selective estrogen receptor modulator(選択的エストロゲン受容体修飾因子);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Strophanthus kombe Oliv.	Anxiolytic(抗不安薬);Cardiotonic(強心剤);Curare(クラーレ);Diuretic(利尿薬);Negative chronotropic(陰性変時);Negative dromotropic(負の変伝導);Pediculicide(シラミ駆除剤);Positive bathmotropic(正の神経･筋肉変閾性、心筋の興奮性);Positive Inotropic(陽性変力作用)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Swietenia mahagoni (L.) Jacq.	Abortifacient(堕胎薬);Angiotensin II antagonist in peroxysomal atrial fibrillation;Antiaggregant(抗血小板剤);Antiproliferative(抗増殖性);Antiseptic(防腐剤);Antithrombic(抗血栓症);Aphrodisiac(媚薬);Astringent(収斂性);Bactericide(殺菌剤);Emmenagogue(通経薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Insecticide(殺虫剤);Orexigenic(食欲刺激[促進]物質);Plasmodicide(抗マラリア薬);Platelet activating factor inhibitor(PAF阻害剤);Purgative(下剤);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Symphytum spp.	Alterative(体質改善剤);Analgesic(鎮痛剤);Antiaging(アンチエイジング);Antihemorrhagic(抗出血性);Antiinflammatory(抗炎症);Antileukocyte(抗白血球);Antimitotic(抗有糸分裂);Antimutagenic(抗突然変異性);Antipsoriatic(抗乾癬性関節炎);Antitumor(抗腫瘍);Astringent(収斂性);Callus promoter(カルス-プロモーター);Carcinogenic(発ガン性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Emollient(緩和剤);Expectorant(去痰薬);Hemostat(止血剤);Hepatotoxic(肝毒性);Hypotensive(低血圧);Tonic(強壮剤);Uterotonic(子宮収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Symplocarpus foetidus (L.) Salisb.ex W. P. C. Barton	Analgesic(鎮痛剤);Antispasmodic(鎮痙薬);Cicatrizant(瘢痕形成薬);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hemolytic(溶血性);Hemostat(止血剤);Narcotic(麻薬);Poison(毒);Sedative(鎮静剤);Sialagogue(唾液分泌促進薬);Stimulant(興奮薬);Suppurative(化膿性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Synedrella nodiflora (L.) Gaertn.	Analgesic(鎮痛剤);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Depurative(浄化作用);Hemostat(止血剤);Insecticide(殺虫剤);Laxative(下剤);Refrigerant(解熱剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Syzygium aromaticum (L.) Merr. & L.M. Perry	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Anthelminthic(駆虫薬、虫下し);Antiaggregant(抗血小板剤);Antialzheimeran(抗アルツハイマー);Antiarthritic(抗関節炎薬);Antibacterial(抗菌);Anticancer(抗ガン);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidote(解毒剤);Antiemetic(制吐剤);Antiherpetic(抗ヘルペス);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antimutagenic(抗突然変異性);Antinitrosating(抗ニトロソ化);Antioxidant(酸化防止剤);Antiperspirant(制汗剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Candidicide;Carminative(駆風薬);Counterirritant(反対刺激);Deodorant(消臭);Digestive(消化器);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Parasympaticolytic;Peristaltic(蠕動性);Rubefacient(発赤剤);Stimulant(興奮薬);Stomachic(健胃薬);Tonic(強壮剤);Tranquilizer(精神安定剤);Trichomonacide(抗トリコモナス剤);Trypsin potentiator(トリプシン増強剤);Vasodilator(血管拡張神経、血管拡張薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Syzygium aromaticum (L.) Merr. and L.M.Perry	Alzheimer's disease(アルツハイマー病);Anorexia(食欲不振);Arthorosis(関節症);Aspergillus(アスペルギルス症);Athlete's Foot(みずむし);Bite;Bronchosis(気管支炎);Bug bite(虫刺され);Bunion(バニオン);Callus(皮膚硬結、たこ);Cancer(ガン);Caries(カリエス、骨瘍剤);Childbirth(分娩);Chill(冷え);Cholera(コレラ);Cold(感冒);Colic(疝痛);Cough(咳);Cramp(けいれん、ひきつり);Cytomegalovirus(サイトメガロウイルス);Dermatosis(皮膚病);Diarrhea(下痢);Dyspepsia(消化不良、胃弱);Enterosis;Fever(発熱);Gastrosis(胃障害);Gingivosis(歯肉症);Halitosis(悪臭呼気);Headache(頭痛);Heart(心臓);Hernia(ヘルニア);Herpes(ヘルペス);Hiccup(しゃっくり);Impotence(インポテンツ);Infection(感染);Infertility(不毛);Inflammation(炎症);Maculosis;Mucososis;Mycosis(真菌症);Myosis(縮瞳);Nausea(吐き気);Nephrosis((上皮性)腎臓症、ネフローゼ);Ophthalmia(眼結膜炎、眼炎);Pain(痛み);Pharyngosis;Phthisis(肺結核);Polyp(ポリプ、隆起性病変);Retinosis(網膜症);Rhinosis;Sore(潰瘍);Sore Throat(咽喉炎);Spasm(痙攣);Stomatosis(口腔病、口腔症);Teething(乳歯発生);Toothache(歯痛);Ulcer(潰瘍);Uterosis;Vaginosis(膣症);Vomiting(嘔吐);Wart(疣贅);Water Retention(水保持);Wound(創傷)	James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Stevia rebaudina (Bertoni) Bertoni	Anticariogenic(う蝕);Antidiabetic(抗糖尿病薬);Antiedemic(抗浮腫性);Antifertility(避妊);Antigluconeogenic;Antihyperglycemic(血糖降下);Antihypertensive(降圧剤);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antitumor promoter(抗腫瘍プロモーター);Bactericide(殺菌剤);Calcium blocker(カルシウムブロッカー);Candidicide;Chemopreventive(化学防御);Contraceptive(避妊薬);Diuretic(利尿薬);Glucagonostatic;Glutamate dehydrogenase inhibitor(グルタミン酸脱水素酵素阻害剤);Hypoglycemic(低血糖);Hypotensive(低血圧);Insulinotropic(インシュリン);Mutagenic(変異原性);NADH-Oxidase inhibitor(NADH-酸化酵素阻害剤);Natriuretic(ナトリウム排泄増加性);Nephrotoxic(腎毒性);Ornithine decarboxylase inhibitor(オルニチン脱炭酸酵素阻害剤);Oxidative phosphorylation inhibitor(酸化的リン酸化阻害剤);Succinate dehydrogenase inhibitor(コハク酸塩脱水素酵素阻害剤);Sweetener(甘味料);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Stillingia sylvatica Garden ex L.	Alterative(体質改善剤);Anticancer(抗ガン);Antiscrofula(抗腺病);Antispasmodic(鎮痙薬);Antisyphilitic(駆梅薬);Astringent(収斂性);Carcinogenic(発ガン性);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Edemagenic(水腫形成);Emetic(催吐薬);Expectorant(去痰薬);Inflammatory(炎症性の);Irritant(刺激物);Laxative(下剤);Sialagogue(唾液分泌促進薬);Tonic(強壮剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Strophanthus gardeniiflorus Gilg.	Anxiolytic(抗不安薬);Cardiotonic(強心剤);Diuretic(利尿薬);Negative chronotropic(陰性変時);Negative dromotropic(負の変伝導);Pediculicide(シラミ駆除剤);Positive bathmotropic(正の神経･筋肉変閾性、心筋の興奮性);Positive Inotropic(陽性変力作用)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Strophanthus gratus (Wall. & Hook.) Baill.	Anxiolytic(抗不安薬);Cardiotonic(強心剤);Curare(クラーレ);Diuretic(利尿薬);Negative chronotropic(陰性変時);Negative dromotropic(負の変伝導);Pediculicide(シラミ駆除剤);Positive bathmotropic(正の神経･筋肉変閾性、心筋の興奮性);Positive Inotropic(陽性変力作用)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Pinus caribaea Morelet	Analgesic(鎮痛剤);Hemostat(止血剤);Rubefacient(発赤剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Strophanthus sarmentosus DC.	Antiseptic(防腐剤);Anxiolytic(抗不安薬);Cardiotonic(強心剤);Diuretic(利尿薬);Emetic(催吐薬);Negative chronotropic(陰性変時);Negative dromotropic(負の変伝導);Pediculicide(シラミ駆除剤);Positive bathmotropic(正の神経･筋肉変閾性、心筋の興奮性);Positive Inotropic(陽性変力作用);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Strychnos ignatii P. J. Bergius	Alexeteric(解毒作用);Aphrodisiac(媚薬);Bitter(苦味);Curare(クラーレ);Nervine(神経鎮静薬);Psychoanaleptic(精神刺激薬);Stimulant(興奮薬);Tonic(強壮剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Strychnos nux-vomica L.	Abortifacient(堕胎薬);Alexeteric(解毒作用);Analgesic(鎮痛剤);Antipyretic(解熱薬);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Bitter(苦味);Cholinolytic(抗コリン性);CNS-stimulant(中枢神経系刺激剤);Convulsant(けいれんを起こす);Diuretic(利尿薬);Emmenagogue(通経薬);Insecticide(殺虫剤);Laxative(下剤);Nervine(神経鎮静薬);Neurotonic(神経賦活性);Orexigenic(食欲刺激[促進]物質);Parasiticide(虫下し、駆虫薬);Peristaltic(蠕動性);Poison(毒);Priapistic;Psychoanaleptic(精神刺激薬);Resipira stimulant;Secretagogue(分泌促進物質、分泌促進剤);Spinostimulant(脊髄刺激薬);Stimulant(興奮薬);Stomachic(健胃薬);Tetanus(破傷風);Tonic(強壮剤);Vasoconstrictor(血管収縮薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Styphnolobium japonicum (L.) Schott	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antibacterial(抗菌);Anticancer(抗ガン);Antifertility(避妊);Antiseptic(防腐剤);Astringent(収斂性);Emetic(催吐薬);Estrogenic(エストロゲン);Hemostat(止血剤);Laxative(下剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Styrax benzoin Dryander.	Anesthetic(麻酔薬);Antibacterial(抗菌);Anticancer(抗ガン);Antiinflammatory(抗炎症);Antimutagenic(抗突然変異性);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Carminative(駆風薬);Deodorant(消臭);Diuretic(利尿薬);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Immunostimulant(免疫賦活剤);Insecticide(殺虫剤);Larvicide(幼虫駆除剤);Laxative(下剤);Narcotic(麻薬);Nematocide(抗線虫剤);Sedative(鎮静剤);Stimulant(興奮薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Styrax paralleloneurum Perkins	Expectorant(去痰薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Styrax tonkinensis (Pierre) Craib ex Hartwich	Allergenic(アレルギー生成);Antiinflammatory(抗炎症);Expectorant(去痰薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Succisa pratensis Moench	Antipyretic(解熱薬);Astringent(収斂性);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Expectorant(去痰薬);Parasiticide(虫下し、駆虫薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Spondias purpurea L.	Antiinflammatory(抗炎症);Antispasmodic(鎮痙薬);Astringent(収斂性);Bactericide(殺菌剤);Contraceptive(避妊薬);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Febrifuge(解熱剤);Laxative(下剤);Litholytic(結石溶解);Myorelaxant(筋肉弛緩薬);Stimulant(興奮薬);Sudorific(発汗促進);Uterorelaxant(子宮弛緩薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Stachys officinalis (L.) Trevis.	Antidepressant(抗鬱剤);Antidiarrheic(下痢止め);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Astringent(収斂性);Bitter(苦味);Carminative(駆風薬);Cerebrotonic(頭脳型);Cholagogue(胆汁分泌促進薬);Depurative(浄化作用);Digestive(消化器);Expectorant(去痰薬);Hepatotonic;Hypotensive(低血圧);Nervine(神経鎮静薬);Sedative(鎮静剤);Tonic(強壮剤);Tranquilizer(精神安定剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Stachys palustris L.	Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hemostat(止血剤);Sedative(鎮静剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Stachytarpheta cayennensis (Rich.) Vahl	Analgesic(鎮痛剤);Antacid(制酸薬);Antibradykinin(抗ブラジキニン);Antiemetic(制吐剤);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antiulcerogenic(抗潰瘍);Cholagogue(胆汁分泌促進薬);Cicatrizant(瘢痕形成薬);Depurative(浄化作用);Diuretic(利尿薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤);Hypoglycemic(低血糖);Laxative(下剤);Panacea(万能薬);Purgative(下剤);Stimulant(興奮薬);Sudorific(発汗促進);Tonic(強壮剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Stachytarpheta jamaicensis (L.) Vahl.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antacid(制酸薬);Anthelminthic(駆虫薬、虫下し);Antiasthmatic(抗ぜんそく);Antiedemic(抗浮腫性);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antitussive(鎮咳薬);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Astringent(収斂性);Bactericide(殺菌剤);Bronchodilator(気管支拡張剤);Cardiac(心臓);Cardioprotective(心臓保護);Cathartic(下剤);CNS-depressant(中枢神経系抑制剤);Depurative(浄化作用);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Febrifuge(解熱剤);Gastroprotective(胃保護剤);Hepatoprotective(肝保護);Hypnotic(睡眠薬);Hypotensive(低血圧);Insecticide(殺虫剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Larvicide(幼虫駆除剤);Laxative(下剤);Mosquitocide(防蚊剤);Neuroprotective(神経保護);NO-genic(NO阻害剤、NO生成);Pressor(血圧増進);Propecic;Purgative(下剤);Secretolytic;Sedative(鎮静剤);Spasmogenic(収縮刺激性);Stimulant(興奮薬);Stomachic(健胃薬);Sudorific(発汗促進);Tonic(強壮剤);Toxic(毒性);Vasodilator(血管拡張神経、血管拡張薬);Vermicide(駆虫剤);Vulnerary(傷薬、外傷にきく);Xanthine oxidase inhibitor(キサンチン酸化酵素阻害剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Stellaria media (L.) Vill.	Antiinflammatory(抗炎症);Antiitch(かゆみ止め);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Bitter(苦味);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Emmenagogue(通経薬);Emollient(緩和剤);Expectorant(去痰薬);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Poison(毒);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Stephania tetrandra S. Moore	Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Antiallergic(抗アレルギー);Antianginal(抗狭心症);Antiarrhythmic(不整脈治療剤);Antiasthmatic(抗ぜんそく);Antiatherogenic(抗動脈硬化);Anticollagen(抗コラーゲン);Antiedemic(抗浮腫性);Antifibrotic(抗線維化);Antiinflammatory(抗炎症);Antileukotriene(抗ロイコトリエン);Antioxidant(酸化防止剤);Antiphagocytotic(抗ファゴサイトーシス);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Antithromboxane(抗トロンボキサン);Antitumor(抗腫瘍);Calcium antagonist(カルシウム拮抗薬);Carminative(駆風薬);Diuretic(利尿薬);Hypotensive(低血圧);Immunodepressant(免疫抑制剤);Laxative(下剤);Myorelaxant(筋肉弛緩薬);NKC-inhibitor(NKC阻害剤);NO-genic(NO阻害剤、NO生成)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Sterculia apetala (Jacq.) H. Karst.	Emollient(緩和剤);Pectoral(胸筋);Stomachic(健胃薬)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Sterculia urens Roxb.	Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Laxative(下剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Stevia rebaudiana (Bertoni) Bertoni	Antibacterial(抗菌);Anticariogenic(う蝕);Antidiabetic(抗糖尿病薬);Antiedemic(抗浮腫性);Antifertility(避妊);Antigluconeogenic;Antihyperglycemic(血糖降下);Antihypertensive(降圧剤);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antitumor promoter(抗腫瘍プロモーター);Bactericide(殺菌剤);Calcium antagonist(カルシウム拮抗薬);Calcium blocker(カルシウムブロッカー);Candidicide;Chemopreventive(化学防御);Contraceptive(避妊薬);Diuretic(利尿薬);Glucagonostatic;Glutamate dehydrogenase inhibitor(グルタミン酸脱水素酵素阻害剤);Hypoglycemic(低血糖);Hypotensive(低血圧);Insulinotropic(インシュリン);Mutagenic(変異原性);NADH-Oxidase inhibitor(NADH-酸化酵素阻害剤);Natriuretic(ナトリウム排泄増加性);Nephrotoxic(腎毒性);Ornithine decarboxylase inhibitor(オルニチン脱炭酸酵素阻害剤);Succinate oxygenase inhibitor(コハク酸塩オキシゲナーゼ阻害剤);Sweetener(甘味料);Vasodilator(血管拡張神経、血管拡張薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
