activity	activity_j
Collagenase inhibitor	コラゲナーゼ阻害剤
Collagenic	-
Collyrium	洗眼液
colony-stimulating factor inducer	コロニー刺激因子誘導因子
Coloprotective	-
Coma	昏睡
Comedogenic	面皰を生じやすい
Condyloma	コンジローム
Congestion	うっ血
Conjunctivosis	-
Constipation	便秘
Contraceptive	避妊薬
Convulsant	けいれんを起こす
Cooling	冷却
Copper Chelator	銅キレート剤
Cordial	興奮性飲料
Corneosis	-
Coronary	冠状動脈
Coronary vasodilator	冠拡張薬
Corroborant	強壮剤
Corticogenic	-
Corticosteroidal	コルチコステロイド
Corticosteronigenic	-
Corticotrophinogenic	-
Cortisolytic	-
Coryza	鼻感冒
Cosmetic	化粧品
Cough	咳
Counterirritant	反対刺激
Cramp	けいれん、ひきつり
Crocodile repellent	ワニ駆除剤
Crohn's Disease	クローン病
Croup	偽膜性喉頭炎
Cryptococcus	クリプトコッカス
Culebrifuge	-
Culebrifuge (snake repellant)	ヘビ忌避剤
Culicide	殺蚊剤
Curare	クラーレ
Cyanobactericide	-
Cyanogenic	青酸生産
Cyclooxygenase COX inhibitor	シクロオキシゲナーゼ阻害剤
Cyclooxygenase COX-1 inhibitor	シクロオキシゲナーゼ-1-阻害剤
Cyclooxygenase COX-2 inhibitor	シクロオキシゲナーゼ-2-阻害剤
Cyctosis	細胞増多症
Cysteine proteinase inhibitor	システイン-プロテイナーゼ阻害剤
Cystosis	-
Cytomegalovirus	サイトメガロウイルス
Cytoprotective	細胞保護
Cytostatic	細胞増殖抑制剤
Cytotoxic	細胞毒性
Dandruff	ふけ
Dart poison	-
Deafness	難聴疾患
Debility	衰弱
Decoagulant	血液凝固を防ぐかまたは遅らせる薬
Decongestant	充血除去剤
Decubosis	-
Dehydration	脱水症状
Deliriant	せん妄発生薬
Delirium	せん妄
Dementia	痴呆
Demulcent	皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物
Dengue	デング熱
Dental Plaque	歯垢、プラーク
Dentifrice	歯磨剤
Dentifuge	-
Deobstruent	閉塞物の排除
Deodorant	消臭
Depilatory	脱毛剤
Depressant	抑制薬
Depression	憂うつ症
Depurative	浄化作用
Dermabrasive	削皮
Dermagenic	-
Dermatosis	皮膚病
Desmutagenic	脱変異原
Detergent	洗浄剤
Detersive	洗浄性
Detoxicant	解毒剤
Deurative	-
Diabetes	糖尿病
Diabetic neuropathy	糖尿病性神経障害
Diaphoretic	発汗剤
Diaphragmosis	-
Diarrhea	下痢
Digestive	消化器
Dilator	拡張薬
Diphoretic	-
Diphtheria	ジフテリア
Discutient	散らし薬
Distemper	ジステンパー
Diuretic	利尿薬
Dizziness	めまい
DNA binding	DNA結合
DNA Polymerase inhibitor	DNA-ポリメラーゼ阻害剤
Dog bite	-
Dopamine antagonist	ドーパミン拮抗薬
Dopaminergic	ドーパミン作動性
Dropsy	水腫
Dry mouth	口内乾燥
Duodenitis	十二指腸炎
Duphoric	-
Dyschezia	排便障害
Dysentery	赤痢
Dysgeusia	味覚障害
Dysmenorrhea	月経困難
Dyspepsia	消化不良、胃弱
Dyspnea	呼吸困難
Dysuria	排尿障害
Earache	耳痛
Ecbolic	陣痛促進薬
Ecchymotic	斑状出血
Ectoparasite	外寄生生物
Eczema	湿疹
Edema	水しゅ、浮腫
Edemagenic	水腫形成
Elastase inhibitor	エラスターゼ阻害剤
Elephantiasis	象皮病
Emaciation	やつれ
Embolism	塞栓症
Embolizer	塞栓形成因子
Embryotoxic	胎児毒性
Emetic	催吐薬
Emmenagogue	通経薬
Emollient	緩和剤
Encephalosis	脳症
Endophinogenic	-
Energetic	精力的な
Energizer	抗鬱薬
Enterobactericide	殺腸内細菌剤
Enterodepressant	腸抑制薬
Enteroprotective	腸保護薬
Enterorelaxant	腸弛緩薬
Enterosis	-
Enterospasm	腸痙攣
Enterostimulant	腸刺激薬
Enterotonic	腸強壮剤
Enuresis	遺尿症、夜尿症、尿失禁
Epididymitis	副睾丸炎、精巣上体炎
Epigastrosis	-
Epilepsy	癲癇
Epileptogenic	てんかん発作
Epinephrinergic	-
Epistaxis	鼻出血
Epithelioma	上皮腫
Equilibratory	平衡感覚
Ergogenic	疲労回復性
Errhine	鼻汁の分泌を促進する
Eructation	おくび、げっぷ
Eruption	発疹
Erysipelas	丹毒
Escharotic	腐食剤
Esophagosis	-
Estrogen agonist	エストロゲン作用薬
Estrogenic	エストロゲン
Ethanolytic	-
Eupeptic	消化補助
Euphoriant	陶酔薬
Euphoric	陶酔
Excitant	刺激性
Exhaustion	疲労困憊
Exhilarant	興奮剤
Expectorant	去痰薬
Extrophy	外反
Farnesylation inhibitor	ファルネシル化阻害剤
Fatigue	疲労
Favus	黄癬
Fear	不安
Febrifuge	解熱剤
Felifuge (cat repellant)	猫忌避剤
Felon	ひょう疽
Female tonic	女性強壮薬
Fertility	生殖能力
Fetotoxic	胎児毒性
Fever	発熱
Fibrinolytic	線維素溶解性
Fibroid	類繊維(腫)、子宮(平滑)筋腫
Fibromyalgia	線維筋痛(症)
Fibrosarcoma	繊維肉腫
Fibrosis	繊維症
Filaria	フィラリア症
Filaricide	フィラリア駆除
Fistula	フィステル
Fits	発作
Flatugenic	-
Flu	インフルエンザ
Fluororetic	-
Fracture	骨折
Fragility	虚弱
Freckle	雀卵斑
Frigidity	冷感症、不感症
Frostbite	しもやけ、凍傷
Fullness	肥満
Fumigant	燻蒸剤
Fumitory	カラクサケマン、抗壊血病薬
Fungicide	殺菌剤、防カビ剤
Fungistat	静真菌剤
Funmitory	-
Furuncle	フルンケル
GABA antagonist	GABA拮抗薬
GABA genic	GABA生成
GABA nergic	GABA作動性
GABA reuptake inhibitor	GABA再摂取抑制剤
GABA sparing	GABA節約作用
Galactorrhea	乳汁漏出症、乳漏症、乳汁漏出
Gallstone	胆石
Gamma-interferon Inhibitor	ガンマ-インターフェロン-阻害剤
Ganglion	ガングリオン
Ganglioplegic	神経節遮断薬
Gangrene	壊疽
Gastorosis	-
Gastroenterosis	-
Gastrogogue	-
Gastroirritant	胃刺激物
Gastroprotective	胃保護剤
Gastrorelaxant	胃緩下薬
Gastrosedative	胃鎮静剤
Gastrosis	胃障害
Gastrospasm	胃痙攣
Gastrostimulant	胃刺激物
Gastrotonic	胃強壮薬
Genotoxic	遺伝毒性
Giardia	ジアルディア症
Giddiness	回転感を伴わないめまい
Gingivosis	歯肉症
Glaucoma	緑内障
Glaucomagenic	-
Gleet	後淋
Glossosis	-
Glucagonostatic	-
Gluconeogenic	糖新生
Glucose-6-phosphate dehydrogenase inhibitor	グルコース-6-リン酸脱水素酵素阻害剤
Glucosidase inhibitor	グルコシダーゼ阻害剤
Glucuronidase iInhibitor	グルクロニダーゼ阻害剤
Glucuronidase inhibitor	グルクロニダーゼ阻害剤
Glutamate dehydrogenase inhibitor	グルタミン酸脱水素酵素阻害剤
Glutaminergic	-
Glutathiogenic	-
Glutathione S-transferase inducer	グルタチオン-S-トランスフェラーゼ-低温
Glutathionigenic	-
Glycogen sparing	グリコーゲン節約作用
Glycogenic	グリコーゲン
Glycogenolytic	グリコーゲン分解
Glycolytic	糖分解
Goiter	甲状腺腫
Goitrogenic	甲状腺腫を誘発するような
Gonadotropic	性腺刺激
Gonorrhea	淋病
Gotrogenic	-
Gout	痛風
Gram(-)-incide	殺グラム陽性菌薬
Gram(+)-incide	殺グラム陽性菌薬
Granulant	-
Granulomagenic	肉芽腫生成
Gravel	尿砂
Gray hair	-
Grippe	インフルエンザ
Guanylate cyclase inhibitor	グアニル酸-シクラーゼ阻害剤
H+ATPase inhibitor	H+ATPアーゼ阻害剤
Hair dye	毛染め
Halitosis	悪臭呼気
Hallucination	幻覚
Hallucinogen	幻覚剤
Hallucinogenic	幻覚生成
Hangover	二日酔い
Hay fever	枯草熱、花粉症
HDL-Cholesterol elevation	HDLコレステロール上昇
Head cold	鼻かぜ
Headache	頭痛
Heamangiomagenic	-
Heart	心臓
Heartburn	胸やけ
Helminthicide	駆虫薬
Hemagenic	血液生成
Hemagglutinant	-
Hemagglutinator	-
Hematemesis	吐血
Hematinic	造血剤
Hematogenic	造血
Hematoma	血腫
Hematostat	止血薬
Hematuria	血尿(症)
Hemicrania	片頭痛
Hemiplegia	半身不随
Hemolytic	溶血性
Hemopareisis	-
Hemophilia	血友病
Hemoptysis	喀血
Hemorrhoids	痔核
Hemostat	止血剤
Hepatic	肝臓
Hepatocarcinogenic	肝臓ガン誘発
Hepatonic	-
Hepatoprotective	肝保護
Hepatoregenerative	肝再生
Hepatosis	肝機能不全
Hepatosis C	肝機能不全C
Hepatotonic	-
Hepatotoxic	肝毒性
Hepatotoxicity (Acetaminophen)	肝毒性
Hepatotropic	肝(臓)親和性
Hepoglycemic	-
Herbicide	除草剤
Herbistat	-
Hermorrhoid	-
Hernia	ヘルニア
Herpes	ヘルペス
Herpes zoster	帯状疱疹
Herpetofuge (snake repellant)	ヘビ忌避剤
Hiatal hernia	裂孔ヘルニア
Hiccup	しゃっくり
High blood pressure	高血圧
High blood suger	-
High cholesterol	高コレステロール
High triglyceride	高トリグリセリド
Hirudicide	殺ヒル剤
Histaminic	ヒスタミン
HIV reverse transcriptase inhibitor	HIVRT阻害剤
HIV-1 integrase inhibitor	HIV-1インテグラーゼ阻害剤
HIV-1 protease inhibitor	HIV-1プロテアーゼ阻害剤
Hives	蕁麻疹
HMG-CoA reductase inhibitor	HMG-CoAレダクターゼ-還元酵素阻害剤
Hoarseness	嗄声
Homicide	毒薬
Hookworm	鉤虫症
Hot flash	顔面潮紅、発汗性温感
Hyaluronidase inhibitor	ヒアルロニダーゼ阻害剤
Hydragogue	駆水薬
Hydrocele	水瘤、睾丸瘤
Hydrophobia	恐水病、狂犬病
Hyocholesterolemic	-
Hyoglycemic	-
Hyotensive	低血圧
Hypercalcemia	高カルシウム血症
Hypercholesterolemic	高コレステロール症
Hyperemesis	悪阻
Hyperemesis gravidarum	悪阻、つわり、妊娠悪阻
Hyperemic	充血
Hyperglycemia	高血糖症
Hyperglycemic	高血糖性
Hyperkinesis	運動過剰症
Hyperkinetic	運動過剰性
Hyperlipidemia	脂肪過剰血症
Hyperlipidemic	脂肪過剰血性
Hyperperistalsis	蠕動亢進性
Hyperphagia	摂食亢進症
Hyperphosphataemic	高リン酸血性
Hypertensive	高血圧
Hyperthermic	体温上昇
Hyperthyroid	甲状腺機能亢進性
Hypertonia	高血圧
Hypertonic	高張、高血圧性
Hypertriglyceridemic	高トリグリセリド血症
Hypnotic	睡眠薬
Hypoacidity	胃酸減少
Hypocholesterolemic	低コレステロール血
Hypochondria	憂鬱症
Hypoglycemia	低血糖症
Hypoglycemic	低血糖
Hypoinsulemic	-
Hypokalemic	低カリウム血症
Hypokinetic	運動不足
Hypolipemic	脂質低下
Trophorestorative	栄養回復剤
Hypolipidemic	低リポタンパク血、抗高脂血症薬、脂質低下薬
Hypolycemic	-
Hypoperistaltic	-
Hyporeflexic	-
Hypotensive	低血圧
Hypotention	低血圧
Hypothermic	低体温
Hypothyroid	甲状腺低下性
Hypothyroidism	甲状腺機能低下症
Hypotonic	低張、低血圧
Hypotriglyceridemic	低トリグリセリド
Hypouremic	低尿毒性
Hypouricemic	低尿酸血症
Hysteria	ヒステリー
Ichthyosis	魚鱗癬
Icterogenic	黄疸生成
IL-12 inhibitor	IL-12阻害剤
IL-1beta inhibitor	IL-1beta阻害剤
IL-2 inhibitor	IL-2阻害剤
IL-4 inhibitor	IL-4阻害剤
IL-6 inducer	IL-6誘導剤
IL-6 inhibitor	IL-6阻害剤
Ileorelaxant	-
Immnostimulant	免疫刺激剤
Immunodepressant	免疫抑制剤
Immunodepression	免疫抑制
Immunomodulator	免疫修飾因子
Immunoprotective	免疫防御
Immunostimulant	免疫賦活剤
Immunosuppressant	免疫抑制剤
Immunosuppressive	免疫抑制
Immunotonic	-
Immunotoxic	免疫毒性
Impostume	膿瘍
Impotence	インポテンツ
Incontinence	失禁
Indigestion	消化不良
Induration	硬化性
Inebriant	酔わせる物
Infanticide	毒薬
Infection	感染
Infertility	不毛
Inflammation	炎症
Inflammatory	炎症性の
Inflammatory bowel disease	炎症性腸疾患
Inorgasmia	-
iNOS genic	iNOS生成
iNOS inhibitor	iNOS阻害剤
Inotropic	変力性
Insanity	精神障害
Insecticide	殺虫剤
Insomnia	不眠症
Insulin sparing	インスリン節約作用
Insulinogenic	インスリン生成
Insulinomimetic	インスリン模倣性
Insulinotropic	インシュリン
Inteferonigenic	インターフェロン生成
Interferon-Synergist	インターフェロン-共力
Interleukin inhibitor	インターロイキン阻害剤
Interleukin-1beta inhibitor	インターロイキン-1beta阻害剤
Interleukinogenic	インターロイキン生成
Intermmittent claudication	-
Intertrigo	間擦疹
Intoxicant	中毒物質
Intoxication	中毒性
Invertase-Inhibitor	インベルターゼ阻害剤
Iron Chelator	鉄キレート剤
Iron-Chelator	鉄キレート剤
Irritable Bowel Syndrome	過敏性腸症候群
Irritant	刺激物
Ischemia	虚血
Ischiosis	-
Itch	かゆみ
Ixodicide	マダニ駆除薬
Jaundice	黄疸
Juvabional	-
K+ATPase inhibitor	K+ATPアーゼ阻害剤
Kaliuretic	カリウム利尿
Kawasaki disease	川崎病
Keratolytic	角質溶解
Keratopreventive	角質予防
Keratosis	角化症
Kernel	リンパ腺
Kidney stone	腎結石
Lacatagogue	-
Lachrymatory	催涙性
Lacrimator	催涙薬
Lacrimatory	催涙性
Lacrymator	催涙物質
Lacrymatory	催涙物質
Lactafuge	-
Lactagogue	乳汁分泌促進物質、催乳物質、催乳薬
Lactifuge	乳汁分泌抑制薬、制乳薬
Lactobacillacide	殺ラクトバチルス菌剤
Lambliasis	ランブル鞭毛虫症
Lameness	足の悪い
Larvicide	幼虫駆除剤
Larvistat	-
Laryngismus	喉頭痙攣
Laryngosis	-
Laxative	下剤
Laxative (pediatric)	下剤（小児）
Lead poisoning	鉛毒
Lectinic	-
Leishmania	リーシュマニア
Leishmaniasis	リーシュマニア症
Leishmanicide	リーシュマニア駆除薬
Lens aldose reductase inhibitor	レンズアルドースレダクターゼ阻害剤
Leprosy	癩
Lethargy	嗜眠
Leucocytogenic	-
Leucorrhea	白帯下、こしけ
Leukemia	白血病
Leukocytogenic	-
Leukocytopenogenic	-
Leukocytosis	白血球増加
Leukoderma	白斑
Leukopenic	白血球減少
Leukoplakia	白板症
Leukoplakogenic	-
Leukorrhea	白帯下、こしけ
Lichen planus	扁平苔癬
Liniment	塗薬
Lipase promoter	リパーゼ-プロモーター
Lipogenic	脂質生成
Lipolytic	脂肪分解
Lipoperoxidase inhibitor	リポパーオオキシド阻害剤
Lipotropic	脂肪親和性
Lipoxygenase inhibitor	リポキシゲナーゼ阻害剤
Lithogenic	結石生成性
Litholytic	結石溶解
Lochiostasis	悪露貯留
Locusticide	バッタ駆除剤
Longevigenic	-
Low blood pressure	低血圧
LSD chelator	LSDキレート化剤
Lumbago	腰痛症
Lungs	肺
Lupus	狼瘡
Luterinizing hormone suppressant	-
Lymph Tonic	リンパトニック
Lymphadenomic	-
Lymphadenosis	リンパ節症
Lymphagosis	-
lymphangitis	リンパ管炎
Lymphatic	リンパ管
Lymphedema	リンパ水腫
Lymphocytogenic	-
Lymphokinetic	-
Lymphoma	リンパ腫
Lymphosarcoma	リンパ肉腫
Lymphosis	-
Lymphotonic	-
Lyphocytogenic	-
Maculosis	-
Madness	狂気、狂犬病
Malaise	不定愁訴
Malaria	マラリア
Malta fever	マルタ熱
Maltase promoter	マルターゼプロモータ
Mange	疥癬
Mania	躁病
MAO inhibitor	モノアミン酸化酵素阻害剤
MAO-B inhibitor	モノアミン酸化酵素B阻害剤
Marasmus	消耗症
Mast cell stabilizer	肥満細胞スタビライザー
Masticatory	咀嚼
Mastogenic	乳生成
Mastosis	-
Matalloprotease inhibitor	金属プロテアーゼ阻害剤
Mcolytic	-
Measles	麻疹、はしか
Melancholy	ふさぎこみ
Melanoma	黒色腫、メラノーマ
Melatoninergic	メラトニン作動性
Memorigenic	-
Meningioma	髄膜腫
Meningosis	髄膜腫生成
Menopause	更年期
Menorrhagia	月経過多症
Menoxenia	月経異常
Mercury binder	水銀結合性
Metabolic Stimulant	代謝刺激
Metal-Chelator	金属キレート剤
Metalloprotease inhibitor	メタロプロテアーゼ-阻害剤
Metalloproteinase inhibitor	メタロプロテイナーゼ-阻害剤
Metastasis	転移
Meteorism	鼓脹
Metrorrhagia	子宮出血
Microcirculatory Stimulant	微小刺激
Migraine	片頭痛
Mineral corticoid	鉱質コルチコイド
Miotic	縮瞳薬
Miscarriage	流産
Miticide	ダニ殺虫剤
Mitogenic	細胞分裂
Mitotic	有糸分裂
MMP2 inhibitor	MMP2阻害剤
MMP9 inhibitor	MMP9阻害剤
Moisturizer	モイスチャライザー
Molluscicide	軟体動物駆除剤
Mononucleosis	単球増加症
Monooxygenase inducer	モノオキシゲナーゼ誘導剤
Monooxygenase inhibitor	モノオキシゲナーゼ阻害剤
Morelaxant	-
Morning sickness	早朝嘔吐
Mosquitocide	防蚊剤
Motility inhibitor	運動阻害
Motion sickness	動揺病、乗物酔い
Motor Depressant	モータ抑制
Mucilaginous	粘着性がある
Mucogenic	粘液生成
Mucoirritant	-
Mucolytic	粘液溶解薬
Mucoprotective	粘膜保護
Mucososis	-
Mucostimulant	粘膜刺激
Multidrug resistance inhibitor	多剤耐性阻害剤
Muscarinic	ムスカリン性
Musculotropic	向筋肉性
Mutagenic	変異原性
Mycobactericide	殺マイコプラズマ菌性
Mycolytic	糸状菌溶解性
Mycosis	真菌症
Mydriatic	散瞳薬
Myelosis	骨髄性白血病
Myelosuppressant	骨髄抑制薬
Myocardiocontractant	心筋コントラクタン
Myocardiodepressant	心筋抑制薬
Myocardioprotectant	心筋保護薬
Myocardioprotective	心筋保護性
Myocardiorelaxant	心筋弛緩薬
Myocardiotonic	心筋強壮薬
Myocontractant	筋肉コントラクタン
Myodepressant	筋肉抑制薬
Myofascities	-
Myoneurostimulant	筋神経腫刺激剤
Myoparalytic	-
Myorelaxant	筋肉弛緩薬
Myosis	縮瞳
Myostimulant	筋肉刺激薬
Myotic	縮瞳薬
Myotonia	筋緊張症
Myotonic	筋緊張症
Myotropic	筋親和性
Myrmecia	ミルメシア
Mytotonic	-
NADH-Oxidase inhibitor	NADH-酸化酵素阻害剤
Narcotic	麻薬
Narctotic	-
Natriuretic	ナトリウム排泄増加性
Nausea	吐き気
Nauseant	催嘔気剤
Necrolytic	壊死
Negative bathmotropic	負の心筋の興奮性
Negative chronotropic	陰性変時
Negative dromotropic	負の変伝導
Negative inotropic	陰性変力作用
Nematocide	抗線虫剤
Nephroprotective	腎保護
Nephrosis	(上皮性)腎臓症、ネフローゼ
Nephrotogenic	腎生成
Nephrotonic	腎強壮性
Nephrotoxic	腎毒性
Nervine	神経鎮静薬
Nervous anxiety	神経不安
Nervousness	神経過敏
Neuralgia	神経痛
Neurasthenia	神経衰弱症
Neuritogenic	神経突起生成
Neuroblastoma	神経芽細胞腫
Neurodepressant	神経抑制薬
Neurogenic	神経生成
Neuroleptic	神経弛緩薬
Neuromuscular blocker	神経筋遮断薬
Neuronogenic	ニューロン生成
Neuroparalysis	神経麻痺
Neuropathy	神経障害
Neuroprotective	神経保護
Neurorestorative	神経回復
Neurosedative	神経鎮静
Neurosis	神経症
Neurostimulant	神経刺激
Neurotonic	神経賦活性
Neurotoxic	神経毒
Neurotropic	向神経性
NF-AT inhibitor	NF-AT阻害剤
NF-kB inhibitor	NF-kB阻害剤
Nicotinic	ニコチン性
Nicotinism	ニコチン中毒
Night sweat	寝汗
Nitrate reductase Inhibitor	硝酸塩還元酵素阻害剤
NKC-booster	NKC効果促進剤
NKC-enhancer	NKC促進剤
NKC-genic	NKC生成
NKC-inhibitor	NKC阻害剤
NO scavenger	NOスカベンジャー
NO-genic	NO阻害剤、NO生成
Non insulin dependent diabetes mellitus	インスリン非依存性糖尿病
Nootropic	向知性
Noradrenergic	ノルアドレナリン作動性
NOS inhibitor	NOS阻害剤
Nutritive	栄養性
Nyctalopia	夜盲症
Obesity	肥満
Odontosis	歯牙発生
Oketsu syndrome	瘀血
Oligolactea	-
Oneirogenic	夢原性
Onychiosis	-
Opacity	混濁(眼疾患)
Ophthalmia	眼結膜炎、眼炎
Orchosis	-
Orexigenic	食欲刺激[促進]物質
Ornithine decarboxylase inhibitor	オルニチン脱炭酸酵素阻害剤
Osteoarthrosis	骨関節症、変形性関節症
Osteogenic	骨原性
Osteomyelosis	-
Osteoporosis	骨粗鬆症
Osteoprotectant	骨保護剤
Osteoprotective	骨保護性
Osteosarcoma	骨肉腫
Osteosis	骨組織形成
Otorrhea	耳漏
Otosis	錯聴症
Ovariosis	-
Ovary	卵巣
Ovicide	殺卵剤
Oxaluria	シュウ酸塩尿症
Oxidative phosphorylation inhibitor	酸化的リン酸化阻害剤
Oxytocic	子宮収縮剤
Oxyuricide	蟯虫駆除薬
Ozena	臭鼻症
P450 inducer	P450阻害剤
P450(2B1) inhibitor	P450(2B1)阻害剤
Pain	痛み
Palpitation	動悸
Palsy	麻痺、中風
Panacea	万能薬
Pancreaprotective	膵臓保護薬
Pancreatic	膵臓
Pancreato stimulant	膵臓刺激薬
Pancreatonic	膵臓強壮薬
Pancreatosis	-
Paradentosis	歯周症
Paralysis	中風
Paralytic	麻痺
Paramecicide	-
Paraplegia	両側麻痺
Parasiticide	虫下し、駆虫薬
Parasympathetic	副交感神経
Parasympatholytic	副交感神経遮断薬
Parasympathomimetic	副交感神経作用
Parasympaticolytic	-
Paratyphus	パラチフス
Parotosis	-
Parturient	分娩
Parturifacient	分娩促進
Parturition	分娩
Pectinesterase Inhibitor	ペクチンエステラーゼ阻害剤
Pectiniferous	-
Pectoral	胸筋
Pediculicide	シラミ駆除剤
Pediculosis	シラミ症
Pemphigus	天疱瘡
Peptic	消化
Pericardosis	-
Periodontosis	歯周症
Peripheral Stimulant	周辺刺激
Peripheral Vasodilator	末梢血管拡張
Peristaltic	蠕動性
Peroxidase Inhibitor	ペルオキシダーゼ阻害剤
Peroxynitrite Scavenger	ペルオキシナイトライトスカベンジャー
Pertussis	百日咳
Pesticide	農薬
Phagocytotic	食作用
Phagoytotic	-
Pharyngosis	-
Phayryngosis	-
Pheromone	フェロモン
Philtre	媚薬
Phinosis	-
Phosphodiesterase inhibitor	ホスホジエステラーゼ阻害剤
Phospholipase A2 inhibitor	ホスホリパーゼA2の阻害剤
Phospholipase inhibitor	ホスホリパーゼ阻害剤
Photocarcinogenic	光ガン原性
Photodermatitic	光線過敏性皮膚炎
Photoprotective	光防護
Photosensitive	感光性
Phototoxic	光毒性
Phthisis	肺結核
Phymata	瘤腫
Piles	痔
Pilogenic	-
Pinworm	蟯虫
Piscicide	殺魚剤
Pityriasis	粃糠疹
Plasmodicide	抗マラリア薬
Platelet activating factor inhibitor	PAF阻害剤
Pleurisy	胸膜炎
Pleurodynia	胸膜痛
Pleurosis	-
Pneumonia	肺炎
Pneumonic	肺
Poison	毒
Poison ivy	うるしかぶれ
Polio	ポリオ
Poliomyelitis	急性灰白髄炎、小児麻痺
Polycystic Ovary Syndrome	多嚢胞性卵巣疾患、多嚢卵巣症候群
Trypanosomiasis	トリパノソーマ症
Polygalacturinase inhibitor	ポリガラクツロナーゼ阻害剤
Polyp	ポリプ、隆起性病変
Polyuria	多尿症
Positive bathmotropic	正の神経･筋肉変閾性、心筋の興奮性
Positive chronotropic	陽性変時
Positive dromotropic	正変伝導
Positive Inotropic	陽性変力作用
Positively Inotropic	筋変カ作用陽性
Postoperative Nausea	術後悪心
Postparturient	分娩
Prebiotic	プレバイオティック
Pregnancy	妊娠
Premenstrual Syndrome	月経前症候群
Pressor	血圧増進
Priapistic	-
Proaggregant	-
Probiotigenic	-
Procoagulant	凝血原
Proctorrhagia	直腸出血
Proctosis	-
Progesterogenic	-
Progesteronic	プロゲステロン様作用
Prolactin inhibitor	プロラクチン阻害剤
Prolactinogenic	-
Prolapse	脱出症
Prooxidant	酸化促進剤
Propecic	-
Prostaglandigenic	-
Prostaglandin E2 inhibitor	プロスタグランジンE2阻害剤
Prostaglandin snthesis inhibitor	プロスタグランジン合成阻害剤
Prostaglandin synthetase-inhibitor	プロスタグランジン合成酵素阻害剤
Prostaglandingenic	プロスタグランジン生成
Prostatosis	-
Protease inhibitor	プロテアーゼ阻害剤
Protein kinase A inhibitor	プロテインキナーゼA阻害剤
Protein kinase C inhibitor	プロテインキナーゼC阻害剤
Protein kinase inhibitor	プロテインキナーゼ阻害剤
Protein tyrosine kinase inhibitor	タンパク質チロシンキナーゼ阻害剤
Proteinase inhibitor	プロテイナーゼ阻害剤
Proteinuria	蛋白尿
Proteoglycanogenic	-
Proteolytic	蛋白質分解性
Protisticide	原生生物駆除剤
Protopectinase inhibitor	プロトペクチナーゼ阻害剤
Prurigo	痒疹
Psittacosis	オウム病
Psoriasis	乾癬
Psychedelic	サイケデリック薬剤
Psychoactive	精神活性
Psychoanaleptic	精神刺激薬
Psychomimetic	幻覚
Psychosis	精神病
Psychostimulant	精神刺激薬
Psychotominetic	-
Psychotropic	向精神薬
Ptarmic	くしゃみ
Pterygium	翼状片
Puerperium	産褥
Pulicide	ノミ殺薬剤
Pulmonary	肺疾患
Pulmonosis	-
Pulmonotonic	-
Purgative	下剤
Pyelosis	-
Pyemia	膿血症
Pyorrhea	膿漏症
Pyrexia	発熱
Pyrogenic	発熱性
Quinone reductase activator	キノン還元酵素活性化
Quinone reductase inducer	キノン還元酵素誘導
Quinone reductase inhibitor	キノン還元酵素阻害剤
Rabies	狂犬病、恐水病
Rachosis	-
Radiation	放射物
Radioprotective	放射線防護
Rash	発疹
Raynaud's	レイノー病
Refrigerant	解熱剤
Rejuvenative	-
Rennet	レンネット
Repellent	忌避剤
Resipira stimulant	-
Respiradepressant	呼吸抑制剤
Respiraparalytic	呼吸麻痺
Respirasedative	呼吸鎮静剤
Respirastimulant	呼吸刺激剤
Respiratonic	呼吸強壮薬
Restenosis	再狭窄
Restorative	強壮薬
Retinoprotective	網膜保護
Retinosis	網膜症
Reverse Transcriptase Inhibitor	逆転写酵素阻害
Reverse trascriptase inhibitor	逆転写酵素阻害剤
Revulsive	誘導薬
Rheumatism	リウマチ
Rheumatosis	リウマチ性疾患
Rhinosis	-
Rib Ache	-
Ribosome inactivator	リボソーム不活性化
Rinderpest	牛疫
Ringworm	白癬
Roborant	強壮剤
Rodenticide	殺鼠剤
Roemheld Syndrome	Roemheld症候群
Rubefacient	発赤剤
S-Adenosylmethionine decarboxylase inhibitor	S-アデノシルメチオニン-デカルボキシラーゼ阻害剤
Salpingosis	-
Saluretic	塩分排
Sarcoma	肉腫
Scab	かさぶた
Scabicide	殺疥癬虫剤
Scabies	疥癬
Scar	瘢痕
Scarlatina	猩紅熱
Schirrhus	-
Schisonticide	-
Schistosoma	住血吸虫症
Schistosomacide	殺住血吸虫薬
Schizonticide	殺シゾント剤
Sciatica	坐骨神経痛
Scirrhus	硬性ガン
Sclerosis	硬化症
Scrofula	腺病
Scurvy	壊血病
Seasickness	船酔い
Seborrhea	皮脂漏
Secretagogue	分泌促進物質、分泌促進剤
Secretolytic	-
Secretomotor	分泌促進
Secretory	分泌
Sedative	鎮静剤
Selective estrogen receptor modulator	選択的エストロゲン受容体修飾因子
Selective serotonin reuptake inhibitors	選択的セロトニン再取り込み阻害薬
Senile dementia	老人性痴呆
Senility	老衰
Sepsis	敗血症、セプシス
Septicemia	敗血症
Serine protease inhibitor	セリンプロテアーゼ阻害剤
Serotonilytic	-
Serotoninergic	セロトニン作動性
Shampoo	シャンプー
Sialagogue	唾液分泌促進薬
Sialagogue potentiator	唾液分泌促進薬増強剤
Sialogogue	唾液分泌促進薬
Sickle cell anemia	鎌状赤血球貧血
Sinusosis	-
Smallpox	天然痘
