cid	metabolite	category	function	targetsp	reference
C00039620	Lespedezol D6;(-)-Lespedezol D6	Antioxidant	Antioxidant, inhibits lipid peroxidation in brain homogenate	rat	Miyase, et al., Phytochemistry, 52, (1999), 311.
C00039742	Meliatoxin B1	Anticancer	Cytotoxic, inhibits growth of cells, KB		Tada, et al., Phytochemistry, 51, (1999), 787.
C00039742	Meliatoxin B1	Anticancer	Cytotoxic, KB hmn nasopharyngeal carcinoma cells		Tada, et al., Phytochemistry, 51, (1999), 787.
C00039755	Methyl carbazole-3-carboxylate	Antifungal	Antifungal	Candida albicans	Ma, et al., Planta Med, 71, (2005), 261.;Sunthitikawinsakul, et al., Planta Med, 69, (2003), 155.
C00039755	Methyl carbazole-3-carboxylate	Antituberculotic	Antibacterial	Mycobacterium tuberculosis	Ma, et al., Planta Med, 71, (2005), 261.;Sunthitikawinsakul, et al., Planta Med, 69, (2003), 155.
C00039755	Methyl carbazole-3-carboxylate	Cytotoxic	Cytotoxic inactive, Vero cells		Ma, et al., Planta Med, 71, (2005), 261.;Sunthitikawinsakul, et al., Planta Med, 69, (2003), 155.
C00039793	Morinol A	Anti-inflammatory	Anti-inflammatory, cytokine formation inhibitor, hmn peripheral blood mononuclear cells, TNF-alpha, IL-4, IL-2 and IFN-gamma		Calixto, et al., Planta Med, 70, (2004), 93.
C00039793	Morinol A	Anti-inflammatory	Anti-inflammatory, modulator of cytokine network		Calixto, et al., Planta Med, 70, (2004), 93.
C00039794	Morinol B	Anti-inflammatory	Anti-inflammatory, cytokine formation inhibitor, hmn peripheral blood mononuclear cells, TNF-alpha, IL-4, IL-2 and IFN-gamma		Calixto, et al., Planta Med, 70, (2004), 93.
C00039794	Morinol B	Anti-inflammatory	Anti-inflammatory, modulator of cytokine network		Calixto, et al., Planta Med, 70, (2004), 93.
C00040176	Interiotherin C;Rubriflorin A	Anticancer	Antineoplastic, EBV-EA activation inhibitor, TPA-induced		Chen, et al., Journal of Natural Products, 65, (2002), 1242.
C00040176	Interiotherin C;Rubriflorin A	Antineoplastic	Antineoplastic, Radi cells		Chen, et al., Journal of Natural Products, 65, (2002), 1242.
C00040176	Interiotherin C;Rubriflorin A	Antineoplastic	Antineoplastic, screened as potential antitumor promoters		Chen, et al., Journal of Natural Products, 65, (2002), 1242.
C00040176	Interiotherin C;Rubriflorin A	Cytotoxic	Cytotoxic inactive, Vero cells		Chen, et al., Journal of Natural Products, 65, (2002), 1242.
C00040888	Avicennamine;(-)-Avicennamine	Antibacterial	Antibacterial, no explanation of bacterial species		Wang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 666.
C00039428	Isochlorogenic acid	Antioxidant	Antioxidant, inhibits t-BuOOH induced luminescence	mus hepatic homogenate	Chen, et al., Lexicon of Active Componentsin in Plants, Vol1, Medicinal Science and Technology Press of China, Beijing, (2001).
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Alternaria alternata	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00041015	Isomangiferin	Antidepressant	Antidepressant		Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00041015	Isomangiferin	Anti-HSV	Antiviral	HSV virus	Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Chen, Liu, et al., Determination of Effective Components in Traditional Chinese medicines, People's Medical Publishing House, Beijing, (2009).
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Penicillium funiculosum	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Penicillium ochrochloron	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Trichoderma viride	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037506	Miltirone	Other respiratory tract agent	Benzodiazepine receptor antagonist		Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).;Wang, et al., Planta Med, 55, (1989), 390.;Chem Abstr, 115, (1991), 150185w.
C00037506	Miltirone	Sedative	CNS depressant		Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).;Wang, et al., Planta Med, 55, (1989), 390.;Chem Abstr, 115, (1991), 150185w.
C00037522	Mulinolic acid;(+)-Mulinolic acid	Antimalarial	Antimalarial	Plasmodium berghei NK65 on infected mouse	Loyola, et al., Phytochemistry, 65, (2004), 1931.;Loyola, et al., Phytochemistry, 56, (2001), 177.
C00037531	Myrtenol	Antibacterial	Antibacterial, no explanation of bacterial species		Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).;Gao, et al., Xinyao yu Linchuang, 4, (1985), 15.;Chem Abstr, 102, (1985), 106018b.
C00037661	Maytenoic acid;Polpunoic acid	Antioxidant	Antioxidant inactive, DPPH scavenger inactive		Kishi, et al., Chem Pharm Bull, 51, (2003), 1051.
C00037913	threo-Anethole glycol	Other health agent	Anti-sepsis inactive		Lee, et al., Planta Med, 69, (2003), 861.
C00038054	(-)-Eudesm-7(11)-en-4alpha-ol;Juniper camphor	Antitussive	Antitussive, dispels phlegm		Wang, et al., Handbook of Effective Components in Vegetal Medicines, People Health Press, Beijing, (1986).
C00038154	12-O-Methylvolkensin;(-)-12-O-Methylvolkensin	Anticancer	Cytotoxic, inhibits growth of cells, KB		Tada, et al., Phytochemistry, 51, (1999), 787.
C00038154	12-O-Methylvolkensin;(-)-12-O-Methylvolkensin	Anticancer	Cytotoxic, KB hmn nasopharyngeal carcinoma cells		Tada, et al., Phytochemistry, 51, (1999), 787.
C00038258	3-Methylcarbazole	Antituberculotic	Antibacterial	Mycobacterium tuberculosis	Wu, et al., Phytochemistry, 43, (1996), 133. ;Buckingham(Executive Editor), Dictionary of Natural Products, Chapman & Hall, 1994, Vol1-7; 1995, Vol8; 1996, Vol9; 1997, Vol10; 1998, Vol11.;Ma, et al., Planta Med, 71, (2005), 261.
C00038259	3'-mono-O-methylellagic acid 4-O-alpha-L-rhamnopyranoside	Cytotoxic	Cytotoxic inactive, HeLa cells		Ohtsuki, et al., Planta Med, 70, (2004), 1170.
C00038629	Bractealine	Antibacterial	Antibacterial	Bacillus subtilis	Ulubelen, et al., Phytochemistry, 52, (1999), 1455.
C00038629	Bractealine	Antibacterial	Antibacterial	Staphylococcus epidermidis	Ulubelen, et al., Phytochemistry, 52, (1999), 1455.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Bacillus coli	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Bacillus diphtheriae	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Bacillus lactis	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Bacillus subtilis	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Bacillus termo	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Klebsiella pneumoniae	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Salmonella sp.	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Staphylococcus aureus	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Streptobacillus sp.	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antibacterial	Antibacterial	Streptococcus sp.	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antifungal	Antifungal	Aspergillus niger	Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00038996	Desoxycordifoline	Antileishmanial	Antileishmanial		Kang, et al., Chinese Traditional and Herbal Drugs(Zhongcaoyao), 33, (2002), 762.
C00039110	ent-kaur-16-en-13,19-diol;(-)-ent-kaur-16-en-13,19-diol	Anticancer	Cytotoxic, antiproliferative		Han, et al., Journal of Natural Products, 67, (2004), 1620.
C00039110	ent-kaur-16-en-13,19-diol;(-)-ent-kaur-16-en-13,19-diol	Anticancer	Cytotoxic, HeLa culture cervical epithelial cancer cells from Henrietta Lack		Han, et al., Journal of Natural Products, 67, (2004), 1620.
C00039110	ent-kaur-16-en-13,19-diol;(-)-ent-kaur-16-en-13,19-diol	Anticancer	Cytotoxic, K562 hmn leukemia cells		Han, et al., Journal of Natural Products, 67, (2004), 1620.
C00039428	Isochlorogenic acid	Antibacterial	Antibacterial, no explanation of bacterial species		Chen, et al., Lexicon of Active Componentsin in Plants, Vol1, Medicinal Science and Technology Press of China, Beijing, (2001).
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Aspergillus flavus	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00039436	Isodesacetyluvaricin	Anticancer	Cytotoxic, A549 non-small cell lung cancer cells		Pan, et al., Chin Chem Lett, 6, (1995), 473.;Hidsham, et al., Phytochemistry, 30, (1991), 2373.;Gu, et al., Tetrahedron, 49, (1993), 747.;Chen, et al., Org Chem(China), 16, (1996), 145.;Buckingham(Executive Editor), Dictionary of Natural Products, Chapman & Hall, 1994, Vol1-7; 1995, Vol8; 1996, Vol9; 1997, Vol10; 1998, Vol11.
C00039436	Isodesacetyluvaricin	Anticancer	Cytotoxic, HT29 hmn colorectal cancer cells		Pan, et al., Chin Chem Lett, 6, (1995), 473.;Hidsham, et al., Phytochemistry, 30, (1991), 2373.;Gu, et al., Tetrahedron, 49, (1993), 747.;Chen, et al., Org Chem(China), 16, (1996), 145.;Buckingham(Executive Editor), Dictionary of Natural Products, Chapman & Hall, 1994, Vol1-7; 1995, Vol8; 1996, Vol9; 1997, Vol10; 1998, Vol11.
C00039436	Isodesacetyluvaricin	Cytotoxic	Cytotoxic, BST		Pan, et al., Chin Chem Lett, 6, (1995), 473.;Hidsham, et al., Phytochemistry, 30, (1991), 2373.;Gu, et al., Tetrahedron, 49, (1993), 747.;Chen, et al., Org Chem(China), 16, (1996), 145.;Buckingham(Executive Editor), Dictionary of Natural Products, Chapman & Hall, 1994, Vol1-7; 1995, Vol8; 1996, Vol9; 1997, Vol10; 1998, Vol11.
C00037193	1,6-Di-O-galloyl-beta-glucose;1,6-di-O-Galloyl-beta-D-glucose	Cytotoxic	Cytotoxic inactive, no explanation on cell species		Leo, et al., Planta Med, 70, (2004), 841.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00037302	Integrifoside A;(-)-Integrifoside A	Antiallergic	Antiallergic		Ono, et al., Phytochemistry, 53, (2000), 479.
C00037345	Isosalvianolic acid C	Antioxidant	Antioxidant, LDL peroxidation inhibitor, Cu2+ -induced		Lin, et al., Journal of Natural Products, 65, (2002), 745.
C00037429	Longikaurin B	Antibacterial	Antibacterial	Bacillus coli	Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Sun, et al., Diterpenoids from Isodon Species, Science Press, Beijing, (2001).;Hou, et al., Phytochemistry, 58, (2001), 179.
C00037429	Longikaurin B	Antibacterial	Antibacterial	Staphylococcus aureus	Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Sun, et al., Diterpenoids from Isodon Species, Science Press, Beijing, (2001).;Hou, et al., Phytochemistry, 58, (2001), 179.
C00037429	Longikaurin B	Anticancer	Cytotoxic, HCT hmn colorectal cancer cells		Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Sun, et al., Diterpenoids from Isodon Species, Science Press, Beijing, (2001).;Hou, et al., Phytochemistry, 58, (2001), 179.
C00037429	Longikaurin B	Anticancer	Cytotoxic, HL-60 leukemia cells		Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Sun, et al., Diterpenoids from Isodon Species, Science Press, Beijing, (2001).;Hou, et al., Phytochemistry, 58, (2001), 179.
C00037429	Longikaurin B	Anticancer	Cytotoxic, K562 hmn leukemia cells		Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998).;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Sun, et al., Diterpenoids from Isodon Species, Science Press, Beijing, (2001).;Hou, et al., Phytochemistry, 58, (2001), 179.
C00037440	Lup-20(29)-ene-1beta,3beta-diol	Anticancer	Antineoplastic, EBV-EA activation inhibitor, TPA-induced		Tanaka, et al., Planta Med, 70, (2004), 1234.;Puapairoj, et al., Planta Med, 71, (2005), 208.
C00037440	Lup-20(29)-ene-1beta,3beta-diol	Anticancer	Cytotoxic, inhibits growth of cells, MCF7		Tanaka, et al., Planta Med, 70, (2004), 1234.;Puapairoj, et al., Planta Med, 71, (2005), 208.
C00037440	Lup-20(29)-ene-1beta,3beta-diol	Anticancer	Cytotoxic, inhibits growth of cells, NCI-H460		Tanaka, et al., Planta Med, 70, (2004), 1234.;Puapairoj, et al., Planta Med, 71, (2005), 208.
C00037440	Lup-20(29)-ene-1beta,3beta-diol	Cytotoxic	Cytotoxic, inhibits growth of cells, SF268		Tanaka, et al., Planta Med, 70, (2004), 1234.;Puapairoj, et al., Planta Med, 71, (2005), 208.
C00037450	Lycogalinoside A	Antibacterial	Antibacterial	Bacillus subtilis	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037450	Lycogalinoside A	Antibacterial	Antibacterial	Escherichia coli	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037450	Lycogalinoside A	Antibacterial	Antibacterial	Staphylococcus aureus	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037450	Lycogalinoside A	Antifungal	Antifungal	Candida albicans	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037450	Lycogalinoside A	Antifungal	Antifungal	Saccharomyces cerevisiae	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037451	Lycogalinoside B	Antibacterial	Antibacterial	Bacillus subtilis	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037451	Lycogalinoside B	Antibacterial	Antibacterial	Escherichia coli	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037451	Lycogalinoside B	Antibacterial	Antibacterial	Staphylococcus aureus	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037451	Lycogalinoside B	Antifungal	Antifungal	Candida albicans	Rezanka, et al., Phytochemistry, 63, (2003), 945.
C00037455	Lysichitalexin;2-(4-Methyloxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Bacillus subtilis	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00037455	Lysichitalexin;2-(4-Methyloxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Escherichia coli	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00037455	Lysichitalexin;2-(4-Methyloxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Staphylococcus aureus	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00037455	Lysichitalexin;2-(4-Methyloxyphenyl)-1-nitroethane	Antifungal	Antifungal	Cladosporium herbarum	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00030689	Longipedunin C	Anti-HIV	Anti-HIV-1, HIV-1 integrase inhibitor		Sun, et al., Chem Pharm Bull, 54, (2006), 129.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Aspergillus niger	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Aspergillus ochraceus	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Aspergillus versicolor	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037470	Malacitanolide;(+)-Malacitanolide	Antifungal	Antifungal	Cladosporium cladosporioides	Skaltsa, et al., Phytochemistry, 55, (2000), 903.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antibacterial	Antibacterial inactive	Enterobacter dissolvens	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antibacterial	Antibacterial inactive	Micrococcus luteus	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antifungal	Antifungal inactive	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antifungal	Antifungal inactive	Nematospora coryli	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antifungal	Antifungal inactive	Paecilomyces notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Antifungal	Antifungal inactive	Paecilomyces variotii	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037187	Gloeophyllol A;(-)-Gloeophyllol A	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037188	Gloeophyllol B	Antifungal	Antifungal	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037188	Gloeophyllol B	Antifungal	Antifungal	Penicillium notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037188	Gloeophyllol B	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037188	Gloeophyllol B	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037188	Gloeophyllol B	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037189	Gloeophyllol C	Antifungal	Antifungal inactive	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037189	Gloeophyllol C	Antifungal	Antifungal inactive	Penicillium notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037189	Gloeophyllol C	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037189	Gloeophyllol C	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037189	Gloeophyllol C	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antibacterial	Antibacterial inactive	Bacillus brevis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antibacterial	Antibacterial inactive	Bacillus subtilis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antibacterial	Antibacterial inactive	Enterobacter dissolvens	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antifungal	Antifungal	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antifungal	Antifungal	Nematospora coryli	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antifungal	Antifungal	Paecilomyces notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Antifungal	Antifungal	Paecilomyces variotii	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037190	Gloeophyllol D	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antibacterial	Antibacterial inactive	Bacillus brevis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antibacterial	Antibacterial inactive	Bacillus subtilis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antibacterial	Antibacterial inactive	Enterobacter dissolvens	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antifungal	Antifungal inactive	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antifungal	Antifungal inactive	Nematospora coryli	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antifungal	Antifungal inactive	Paecilomyces notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Antifungal	Antifungal inactive	Paecilomyces variotii	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037191	Gloeophyllone;(-)-Gloeophyllone	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00037193	1,6-Di-O-galloyl-beta-glucose;1,6-di-O-Galloyl-beta-D-glucose	Antifungal	Antifungal	Candida albicans 19	Leo, et al., Planta Med, 70, (2004), 841.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00037193	1,6-Di-O-galloyl-beta-glucose;1,6-di-O-Galloyl-beta-D-glucose	Antifungal	Antifungal	Candida albicans 32	Leo, et al., Planta Med, 70, (2004), 841.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00037193	1,6-Di-O-galloyl-beta-glucose;1,6-di-O-Galloyl-beta-D-glucose	Antifungal	Antifungal	Candida albicans ATCC2091	Leo, et al., Planta Med, 70, (2004), 841.;Zhang, et al., Journal of Natural Products, 64, (2001), 1527.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial inactive	Azotobacter beijerinckii	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial inactive	Halobacterium sp.	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00036323	(12E)-Lembyne A	Antibacterial	Antibacterial inactive	Halococcus sp.	Vairappan, et al., Phytochemistry, 58, (2001), 517.
C00036437	1-Hydroxy-3-sterpurene	Antibacterial	Antibacterial	Bacillus brevis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Antibacterial	Antibacterial	Bacillus subtilis	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Antifungal	Antifungal	Mucor miehei	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Antifungal	Antifungal	Penicillium notatum	Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Cytotoxic	Cytotoxic inactive, COS-7 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Cytotoxic	Cytotoxic inactive, HeLa-S3 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036437	1-Hydroxy-3-sterpurene	Cytotoxic	Cytotoxic inactive, HL-60 cells		Rasser, et al., Phytochemistry, 54, (2000), 511.
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Bacillus subtilis	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Escherichia coli	Hanawa, et al., Phytochemistry, 53, (2000), 55.
C00036446	2-(4-Hydroxyphenyl)-1-nitroethane	Antibacterial	Antibacterial inactive	Staphylococcus aureus	Hanawa, et al., Phytochemistry, 53, (2000), 55.
