"activityLabel","chebiID"
"Gliotoxin","CHEBI_5385"
"Maculosin;L-Proline-L-tyrosine anhydride;Cyclo(L-tyrosyl-L-proline);Cyclo-(L-Pro-L-Tyr);(-)-Maculosin;Maculosin 1;Maculosine","CHEBI_6631"
"(-)-Maculosin","CHEBI_6631"
"Cyclo(L-tyrosyl-L-proline)","CHEBI_6631"
"Cyclo-(L-Pro-L-Tyr)","CHEBI_6631"
"L-Proline-L-tyrosine anhydride","CHEBI_6631"
"Maculosin","CHEBI_6631"
"Maculosin 1","CHEBI_6631"
"Maculosine","CHEBI_6631"
"Pilocarpine","CHEBI_8207"
"Shihunine","CHEBI_9132"
"Paclitaxel;(-)-Paclitaxel;Taxol","CHEBI_45863"
"(-)-Paclitaxel","CHEBI_45863"
"Paclitaxel","CHEBI_45863"
"Taxol","CHEBI_45863"
"Verruculotoxin","CHEBI_9969"
"Abyssinone VI","CHEBI_2369"
"Cyanidin 3-O-glucoside;Chrysanthemin","CHEBI_28426"
"Chrysanthemin","CHEBI_28426"
"Cyanidin 3-O-glucoside","CHEBI_28426"
"Heavenly blue anthocyanin","CHEBI_5630"
"Isobavachalcone;Corylifolinin;2',4,4'-Trihydroxy-3'-(3-methyl-2-butenyl)chalcone","CHEBI_28106"
"2',4,4'-Trihydroxy-3'-(3-methyl-2-butenyl)chalcone","CHEBI_28106"
"Corylifolinin","CHEBI_28106"
"Isobavachalcone","CHEBI_28106"
"4,5-Methylenedioxy-6-hydroxyaurone;Cephalocerone;(Z)-4-Hydroxy-7-(phenylmethylene)-furo[3,2-e]-1,3-benzodioxol-8(7H)-one","CHEBI_1749"
"4,5-Methylenedioxy-6-hydroxyaurone","CHEBI_1749"
"Cephalocerone","CHEBI_1749"
"(Z)-4-Hydroxy-7-(phenylmethylene)-furo[3,2-e]-1,3-benzodioxol-8(7H)-one","CHEBI_1749"
"Pelargonin;Pelargonidin 3,5-di-beta-D-glucoside","CHEBI_133365"
"Pelargonidin 3,5-di-beta-D-glucoside","CHEBI_133365"
"Pelargonin","CHEBI_133365"
"Xenognosin A","CHEBI_10075"
"Eriobofuran","CHEBI_4829"
"Vignafuran;2-(4-Hydroxy-2-methoxyphenyl)-6-methoxybenzofuran","CHEBI_9980"
"2-(4-Hydroxy-2-methoxyphenyl)-6-methoxybenzofuran","CHEBI_9980"
"Vignafuran","CHEBI_9980"
"Aurasperone D","CHEBI_2925"
"5,7-Dihydroxychromone;5,7-Dihydroxy-4-chromone","CHEBI_2007"
"5,7-Dihydroxy-4-chromone","CHEBI_2007"
"5,7-Dihydroxychromone","CHEBI_2007"
"2,2-Dimethyl-8-prenylchromene 6-carboxylic acid","CHEBI_860"
"Mallotochromene","CHEBI_6656"
"2-(4-Methoxyphenethyl)chromone","CHEBI_969"
"Quinquangulin","CHEBI_8731"
"Spathelia bischromene","CHEBI_9213"
"Angelicin","CHEBI_28928"
"Athamantin","CHEBI_2905"
"(+)-Byakangelicin;Byakangelicin","CHEBI_3250"
"(+)-Byakangelicin","CHEBI_3250"
"Byakangelicin","CHEBI_3250"
"Calanolide A","CHEBI_65552"
"Mammeisin;Mammea A/AA;5,7-Dihydroxy-8-(3-methyl-2-butenyl)-6-(3-methylbutyryl)-4-phenylcoumarin","CHEBI_69990"
"5,7-Dihydroxy-8-(3-methyl-2-butenyl)-6-(3-methylbutyryl)-4-phenylcoumarin","CHEBI_69990"
"Mammea A/AA","CHEBI_69990"
"Mammeisin","CHEBI_69990"
"Scopoletin","CHEBI_17488"
"(-)-Glycinol;3,6a,9-Trihydroxypterocarpan","CHEBI_15649"
"(-)-Glycinol","CHEBI_15649"
"3,6a,9-Trihydroxypterocarpan","CHEBI_15649"
"Irilone;5,4'-Dihydroxy-6,7-methylenedioxyisoflavone","CHEBI_5970"
"5,4'-Dihydroxy-6,7-methylenedioxyisoflavone","CHEBI_5970"
"Irilone","CHEBI_5970"
"Licoisoflavone A","CHEBI_28620"
"Luteone;Luteone(isoflavone)","CHEBI_27917"
"Luteone","CHEBI_27917"
"Luteone(isoflavone)","CHEBI_27917"
"Pachyrrhizone","CHEBI_7886"
"(-)-Phaseollin;Phaseolin","CHEBI_108"
"(-)-Phaseollin;Phaseolin","CHEBI_17556"
"(-)-Phaseollin","CHEBI_108"
"(-)-Phaseollin","CHEBI_17556"
"Phaseolin","CHEBI_108"
"Phaseolin","CHEBI_17556"
"Pseudobaptigenin","CHEBI_8602"
"Sojagol;Soyagol","CHEBI_9183"
"Sojagol","CHEBI_9183"
"Soyagol","CHEBI_9183"
"(-)-Sparticarpin","CHEBI_118"
"Toxicarol;alpha-Toxicarol;Toxicarin","CHEBI_9643"
"Toxicarin","CHEBI_9643"
"Toxicarol","CHEBI_9643"
"alpha-Toxicarol","CHEBI_9643"
"Dihydrocubebin;(-)-Dihydrocubebin","CHEBI_543841"
"(-)-Dihydrocubebin","CHEBI_543841"
"Dihydrocubebin","CHEBI_543841"
"(-)-Licarin A;Licarin A","CHEBI_6451"
"(-)-Licarin A","CHEBI_6451"
"Licarin A","CHEBI_6451"
"Neoisostegane","CHEBI_7505"
"Phyllanthostatin A","CHEBI_8178"
"Sesamolinol","CHEBI_9127"
"Anisaldehyde;p-Anisaldehyde","CHEBI_28235"
"Anisaldehyde","CHEBI_28235"
"p-Anisaldehyde","CHEBI_28235"
"Ascosalitoxin","CHEBI_2870"
"5-Pentadecylresorcinol","CHEBI_2120"
"Pyrocatechuic acid;o-Pyrocatechuic acid;2,3-Dihydroxybenzoic acid","CHEBI_18026"
"2,3-Dihydroxybenzoic acid","CHEBI_18026"
"Pyrocatechuic acid","CHEBI_18026"
"o-Pyrocatechuic acid","CHEBI_18026"
"Urushiol III","CHEBI_9909"
"Aspidinol","CHEBI_2884"
"alpha-Kosin","CHEBI_10285"
"[6]-Gingerdione","CHEBI_10135"
"Methyl caffeate","CHEBI_6856"
"Myristicin","CHEBI_68234"
"Prenyl cafeate","CHEBI_8393"
"Salvianolic acid A","CHEBI_9017"
"Subaphyllin","CHEBI_9299"
"(-)-Alkannin;Alkannin","CHEBI_2578"
"(-)-Alkannin","CHEBI_2578"
"Alkannin","CHEBI_2578"
"Aristolindiquinone","CHEBI_2823"
"Cercosporin","CHEBI_3556"
"Chryso-obtusin glucoside","CHEBI_3685"
"Chrysophanic acid 9-anthrone","CHEBI_3686"
"Chrysophanol 8-glucoside","CHEBI_3688"
"Conocurvone","CHEBI_3861"
"Cyperaquinone","CHEBI_4040"
"Dunnione","CHEBI_4723"
"Frangulin B","CHEBI_5168"
"Kigelinone","CHEBI_6137"
"Lapachol","CHEBI_6377"
"Naphthazarin","CHEBI_28849"
"Primin","CHEBI_8413"
"Purpurin","CHEBI_8645"
"Rhein","CHEBI_8825"
"Sennoside A","CHEBI_34974"
"Sennoside A","CHEBI_9112"
"2-Methylanthraquinone;Tectoquinone;2-Methylanthracene-9,10-dione","CHEBI_9427"
"2-Methylanthracene-9,10-dione","CHEBI_9427"
"2-Methylanthraquinone","CHEBI_9427"
"Tectoquinone","CHEBI_9427"
"Ventinone A","CHEBI_9945"
"Canaliculatol;[2R-(2alpha,2aalpha,7alpha,7aalpha,12alpha,12abeta)]-2,2a,7,7a,12,12a-Hexahydro-2,7,12-tris(4-hydroxyphenyl)-benz[7,8]indeno[2',1':4,5]cycloocta[1,2,3-cd]benzofuran-4,6,9,11,14-pentol","CHEBI_3344"
"Canaliculatol","CHEBI_3344"
"[2R-(2alpha,2aalpha,7alpha,7aalpha,12alpha,12abeta)]-2,2a,7,7a,12,12a-Hexahydro-2,7,12-tris(4-hydroxyphenyl)-benz[7,8]indeno[2',1':4,5]cycloocta[1,2,3-cd]benzofuran-4,6,9,11,14-pentol","CHEBI_3344"
"Chlorophorin","CHEBI_3629"
"Demethylbatatasin IV;2',3,5-Trihydroxybibenzyl","CHEBI_4395"
"2',3,5-Trihydroxybibenzyl","CHEBI_4395"
"Demethylbatatasin IV","CHEBI_4395"
"Hircinol","CHEBI_5726"
"Lunularin;3,4'-Dihydroxybibenzyl","CHEBI_6568"
"3,4'-Dihydroxybibenzyl","CHEBI_6568"
"Lunularin","CHEBI_6568"
"Piceatannol;3,3',4,5'-Tetrahydroxystilbene","CHEBI_28814"
"3,3',4,5'-Tetrahydroxystilbene","CHEBI_28814"
"Piceatannol","CHEBI_28814"
"4-Prenylresveratrol;4-Isopentenyl-3,4',5-trihydroxystilbene;Arachidin II","CHEBI_1927"
"4-Isopentenyl-3,4',5-trihydroxystilbene","CHEBI_1927"
"4-Prenylresveratrol","CHEBI_1927"
"Arachidin II","CHEBI_1927"
"(-)-epsilon-Viniferin;epsilon-Viniferin","CHEBI_10556"
"(-)-epsilon-Viniferin","CHEBI_10556"
"epsilon-Viniferin","CHEBI_10556"
"Casuarictin","CHEBI_3461"
"Chebulinic acid","CHEBI_3584"
"Prodelphinidin B4;Gallocatechin-(4alpha->8)-epigallocatechin","CHEBI_5270"
"Gallocatechin-(4alpha->8)-epigallocatechin","CHEBI_5270"
"Prodelphinidin B4","CHEBI_5270"
"Procyanidin B4;Catechin-(4alpha->8)-epicatechin","CHEBI_27589"
"Catechin-(4alpha->8)-epicatechin","CHEBI_27589"
"Procyanidin B4","CHEBI_27589"
"Lusianthridin;4,7-Dihydroxy-2-methoxy-9,10-dihydrophenanthrene","CHEBI_28678"
"4,7-Dihydroxy-2-methoxy-9,10-dihydrophenanthrene","CHEBI_28678"
"Lusianthridin","CHEBI_28678"
"6-Deoxyjacareubin","CHEBI_2183"
"1,3,5-Trihydroxyxanthone","CHEBI_514"
"Acrovestone","CHEBI_2440"
"Aucuparin","CHEBI_2920"
"3-Butylidene-7-hydroxyphthalide","CHEBI_1458"
"Kolanone","CHEBI_6144"
"6-Methoxymellein","CHEBI_2212"
"Ochratoxin A","CHEBI_7719"
"Purpurogallin","CHEBI_8647"
"Linaloyl acetate;Linalyl acetate","CHEBI_78334"
"Linaloyl acetate","CHEBI_78334"
"Linalyl acetate","CHEBI_78334"
"Pyrethrin I","CHEBI_27815"
"Catalposide","CHEBI_3465"
"(+)-Iridodial","CHEBI_25"
"(+)-Iridodial","CHEBI_26"
"Iridomyrmecin","CHEBI_5967"
"(+)-Neomatatabiol","CHEBI_33"
"Humulene;(+/-)-alpha-Humulene;alpha-Caryophyllene","CHEBI_5768"
"(+/-)-alpha-Humulene","CHEBI_5768"
"Humulene","CHEBI_5768"
"alpha-Caryophyllene","CHEBI_5768"
"Juvenile hormone III","CHEBI_27493"
"Patchouli alcohol","CHEBI_7940"
"Thujopsene","CHEBI_9578"
"Lipiferolide","CHEBI_6489"
"Mikanolide","CHEBI_6936"
"Multiradiatin","CHEBI_7023"
"Ferruginol","CHEBI_78274"
"Isodonal","CHEBI_6004"
"Lathyrol","CHEBI_6386"
"Cyclamin","CHEBI_3987"
"24-Methylenecycloartan-3beta-ol;24-Methylenecycloartanol","CHEBI_1307"
"24-Methylenecycloartan-3beta-ol","CHEBI_1307"
"24-Methylenecycloartanol","CHEBI_1307"
"Glaucarubinone","CHEBI_5371"
"Tectochrysin;5-hydroxy-7-methoxyflavone","CHEBI_9426"
"5-hydroxy-7-methoxyflavone","CHEBI_9426"
"Tectochrysin","CHEBI_9426"
"Apigenin;5,7,4'-Trihydroxyflavone","CHEBI_18388"
"5,7,4'-Trihydroxyflavone","CHEBI_18388"
"Apigenin","CHEBI_18388"
"Galangin;Norizalpinin;3,5,7-Trihydroxyflavone;3,5,7-Trihydroxy-2-phenyl-4H-1-benzopyran-4-one","CHEBI_5262"
"3,5,7-Trihydroxy-2-phenyl-4H-1-benzopyran-4-one","CHEBI_5262"
"3,5,7-Trihydroxyflavone","CHEBI_5262"
"Galangin","CHEBI_5262"
"Norizalpinin","CHEBI_5262"
"Isorhamnetin;3,4',5,7-Tetrahydroxy-3'-methoxyflavone;3'-O-Methylquercetin;3,5,7-Trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4H-1-benzopyran-4-one","CHEBI_6052"
"3,5,7-Trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4H-1-benzopyran-4-one","CHEBI_6052"
"3'-O-Methylquercetin","CHEBI_6052"
"3,4',5,7-Tetrahydroxy-3'-methoxyflavone","CHEBI_6052"
"Isorhamnetin","CHEBI_6052"
"Astragalin;Kaempferol 3-O-beta-D-glucoside;Kaempferol 3-glucoside;Kaempferol 3-O-beta-D-glucopyranoside","CHEBI_30200"
"Astragalin","CHEBI_30200"
"Kaempferol 3-O-beta-D-glucopyranoside","CHEBI_30200"
"Kaempferol 3-O-beta-D-glucoside","CHEBI_30200"
"Kaempferol 3-glucoside","CHEBI_30200"
"Carlinoside;Lucenin 5;Luteolin 6-C-beta-D-glucopyranoside-8-C-alpha-L-arabinopyranoside","CHEBI_3421"
"Carlinoside","CHEBI_3421"
"Lucenin 5","CHEBI_3421"
"Fukugetin;Morelloflavone;(+)-Morelloflavone","CHEBI_70331"
"(+)-Morelloflavone","CHEBI_70331"
"Fukugetin","CHEBI_70331"
"Morelloflavone","CHEBI_70331"
"Acetaldehyde;Acetic aldehyde","CHEBI_15343"
"Acetaldehyde","CHEBI_15343"
"Acetic aldehyde","CHEBI_15343"
"Pentadecanoic acid;n-Pentadecanoic acid","CHEBI_42504"
"Pentadecanoic acid","CHEBI_42504"
"n-Pentadecanoic acid","CHEBI_42504"
"Hydrocyanic acid","CHEBI_18407"
"beta-Sesquiphellandrene","CHEBI_64361"
"6-Methoxytaxifolin;3,5,7,3',4'-Pentahydroxy-6-methylflavanone;Cedeodarin","CHEBI_2213"
"3,5,7,3',4'-Pentahydroxy-6-methylflavanone","CHEBI_2213"
"6-Methoxytaxifolin","CHEBI_2213"
"Cedeodarin","CHEBI_2213"
"Auriculoside","CHEBI_2929"
"(-)-Epigallocatechin;Epigallocatechin;L-Epigallocatechin;l-Epigallocatechin","CHEBI_42255"
"(-)-Epigallocatechin","CHEBI_42255"
"Epigallocatechin","CHEBI_42255"
"L-Epigallocatechin","CHEBI_42255"
"l-Epigallocatechin","CHEBI_42255"
"2'-Hydroxygenistein","CHEBI_70031"
"Iridin;Irigenin 7-O-glucoside","CHEBI_5963"
"Iridin","CHEBI_5963"
"Irigenin 7-O-glucoside","CHEBI_5963"
"Sinensetin;5,6,7,3',4'-Pentamethoxyflavone;Pedalitin permethyl ether;2-(3,4-Dimethoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one","CHEBI_9159"
"5,6,7,3',4'-Pentamethoxyflavone","CHEBI_9159"
"Pedalitin permethyl ether","CHEBI_9159"
"Sinensetin","CHEBI_9159"
"2-(3,4-Dimethoxyphenyl)-5,6,7-trimethoxy-4H-1-benzopyran-4-one","CHEBI_9159"
"(-)-alpha-Cadinol;alpha-Cadinol","CHEBI_132905"
"(-)-alpha-Cadinol","CHEBI_132905"
"alpha-Cadinol","CHEBI_132905"
"(-)-Isocorypalmine;Isocorypalmine;O10-Methylstepholidine;Tetrahydrocolumbamine","CHEBI_17772"
"(-)-Isocorypalmine","CHEBI_17772"
"Isocorypalmine","CHEBI_17772"
"O10-Methylstepholidine","CHEBI_17772"
"Tetrahydrocolumbamine","CHEBI_17772"
"1-Decanol;Decanol;n-Decanol","CHEBI_28903"
"1-Decanol","CHEBI_28903"
"Decanol","CHEBI_28903"
"n-Decanol","CHEBI_28903"
"Nonanal;n-Nonanal","CHEBI_84268"
"Nonanal","CHEBI_84268"
"n-Nonanal","CHEBI_84268"
"Z-Furanoid linalool oxide","CHEBI_88903"
"3-Octanol","CHEBI_80945"
"3-Methylhexane","CHEBI_143848"
"Gibberellin A9;GA9","CHEBI_29605"
"GA9","CHEBI_29605"
"Gibberellin A9","CHEBI_29605"
"Gibberellin A19;GA19","CHEBI_28731"
"GA19","CHEBI_28731"
"Gibberellin A19","CHEBI_28731"
"Indole-3-ethanol;Tryptophol","CHEBI_17890"
"Indole-3-ethanol","CHEBI_17890"
"Tryptophol","CHEBI_17890"
"1,8-Cineole;Eucalyptol","CHEBI_27961"
"1,8-Cineole","CHEBI_27961"
"Eucalyptol","CHEBI_27961"
"Thymol","CHEBI_27607"
"24-Epibrassinolide","CHEBI_27722"
"Castasterone","CHEBI_23051"
"Soyasapogenol B","CHEBI_9209"
"Geniposide","CHEBI_5299"
"Capillin","CHEBI_3369"
"cis-3-Hexen-1-ol","CHEBI_28857"
"Aflatoxin B1","CHEBI_2504"
"Chrysophanol","CHEBI_3687"
"Isopimpinellin","CHEBI_28853"
"(-)-Megaphone","CHEBI_6720"
"(-)-Nortrachelogenin;(-)-Wikstromol","CHEBI_7639"
"(-)-Nortrachelogenin","CHEBI_7639"
"(-)-Wikstromol","CHEBI_7639"
"(-)-Podophyllotoxin","CHEBI_50305"
"Coniferyl alcohol","CHEBI_17745"
"Isoeugenol","CHEBI_50545"
"Justicidin B","CHEBI_6094"
"Magnoshinin","CHEBI_6645"
"Prostalidin A","CHEBI_8522"
"Biotin","CHEBI_15956"
"(-)-Menthone","CHEBI_15410"
"Citronellol","CHEBI_10360"
"Citronellol","CHEBI_88"
"Geraniol","CHEBI_17447"
"Abyssinone I","CHEBI_2367"
"(+)-Catechin;D-Catechin;(+)-3',4',5,7-Tetrahydroxy-2,3-trans-flavan-3-ol;Dexcyanidanol;Teafuran 30A;D-Catechol","CHEBI_15600"
"(+)-3',4',5,7-Tetrahydroxy-2,3-trans-flavan-3-ol","CHEBI_15600"
"(+)-Catechin","CHEBI_15600"
"D-Catechin","CHEBI_15600"
"D-Catechol","CHEBI_15600"
"Dexcyanidanol","CHEBI_15600"
"Teafuran 30A","CHEBI_15600"
"Isouvaretin","CHEBI_6068"
"Naringin","CHEBI_28819"
"Phellamurin","CHEBI_8048"
"Phloridzin;Phloretin 2'-glucoside","CHEBI_8113"
"Phloretin 2'-glucoside","CHEBI_8113"
"Phloridzin","CHEBI_8113"
"Amentoflavone","CHEBI_2631"
"Cirsiliol","CHEBI_3719"
"Cupressulflavone","CHEBI_3960"
"Dasytrichone","CHEBI_4327"
"Isovitexin;6-beta-D-Glucopyranosyl-4',5,7-trihydroxyflavone;Homovitexin;6-C-beta-D-Glucopyranosylapigenin;Saponaretin;6-beta-D-Glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one","CHEBI_18330"
"6-C-beta-D-Glucopyranosylapigenin","CHEBI_18330"
"6-beta-D-Glucopyranosyl-4',5,7-trihydroxyflavone","CHEBI_18330"
"6-beta-D-Glucopyranosyl-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-1-benzopyran-4-one","CHEBI_18330"
"Homovitexin","CHEBI_18330"
"Isovitexin","CHEBI_18330"
"Saponaretin","CHEBI_18330"
"Luteolin 7-O-(6''-malonylglucoside)","CHEBI_6579"
"Nevadensin","CHEBI_7545"
"D-Ribulose;alpha-D-Ribulose","CHEBI_17173"
"D-Ribulose;alpha-D-Ribulose","CHEBI_28552"
"D-Ribulose","CHEBI_17173"
"D-Ribulose","CHEBI_28552"
"alpha-D-Ribulose","CHEBI_17173"
"alpha-D-Ribulose","CHEBI_28552"
"Trehalose","CHEBI_16551"
"2-Carboxyarabinitol 1-phosphate","CHEBI_17541"
"Galactinol","CHEBI_17505"
"Volemitol","CHEBI_10017"
"(+)-Ascorbic acid;L-Ascorbic acid;L-Ascorbate;Vitamin C","CHEBI_29073"
"(+)-Ascorbic acid","CHEBI_29073"
"L-Ascorbate","CHEBI_29073"
"L-Ascorbic acid","CHEBI_29073"
"Vitamin C","CHEBI_29073"
"Monofluoroacetic acid","CHEBI_30775"
"Shikimic acid","CHEBI_16119"
"L-(+)-Tartaric acid","CHEBI_15674"
"Tiglic acid","CHEBI_9592"
"Behenic acid","CHEBI_28941"
"gamma-Linolenic acid;6(Z),9(Z),12(Z)-Octadecatrienoic acid","CHEBI_28661"
"6(Z),9(Z),12(Z)-Octadecatrienoic acid","CHEBI_28661"
"gamma-Linolenic acid","CHEBI_28661"
"Myristic acid;Tetradecanoic acid;n-Tetradecanoic acid","CHEBI_28875"
"Myristic acid","CHEBI_28875"
"Tetradecanoic acid","CHEBI_28875"
"n-Tetradecanoic acid","CHEBI_28875"
"Caprylic acid;n-Octanoic acid;Octanoic acid","CHEBI_28837"
"Caprylic acid","CHEBI_28837"
"Octanoic acid","CHEBI_28837"
"n-Octanoic acid","CHEBI_28837"
"Palmitic acid","CHEBI_15756"
"Dimethyl trisulfide","CHEBI_4614"
"Dodecane","CHEBI_28817"
"Hentriacontane","CHEBI_5659"
"Lenthionine","CHEBI_6408"
"Propane-1-thiol","CHEBI_8473"
"Dehydrosafynol","CHEBI_4370"
"Thiarubrine B","CHEBI_9539"
"Giganin","CHEBI_5350"
"Squamocin","CHEBI_9246"
"L-Baikiain","CHEBI_6199"
"L-2,5-Dihydrophenylalanine","CHEBI_27940"
"3-Methylamino-L-alanine","CHEBI_73169"
"L-Ornithine","CHEBI_15729"
"L-Ornithine","CHEBI_18257"
"L-Phenylalanine","CHEBI_17295"
"L-Tryptophan","CHEBI_16828"
"L-Tryptophan","CHEBI_27897"
"L-Valine","CHEBI_16414"
"D-Cathinone","CHEBI_4110"
"Gramine","CHEBI_28948"
"Histamine","CHEBI_18295"
"Deidaclin","CHEBI_4373"
"p-Glucosyloxymandelonitrile","CHEBI_10626"
"Linamarin","CHEBI_16441"
"Lotaustralin;(R)-Lotaustralin","CHEBI_6542"
"(R)-Lotaustralin","CHEBI_6542"
"Lotaustralin","CHEBI_6542"
"Lucumin","CHEBI_6559"
"Glucocochlearin;1-Methylpropyl glucosinolate;Glucojiabutin;sec-Butyl glucosinolate","CHEBI_5402"
"Glucocochlearin;1-Methylpropyl glucosinolate;Glucojiabutin;sec-Butyl glucosinolate","CHEBI_79329"
"1-Methylpropyl glucosinolate","CHEBI_5402"
"1-Methylpropyl glucosinolate","CHEBI_79329"
"Glucocochlearin","CHEBI_5402"
"Glucocochlearin","CHEBI_79329"
"Glucojiabutin","CHEBI_5402"
"Glucojiabutin","CHEBI_79329"
"sec-Butyl glucosinolate","CHEBI_5402"
"sec-Butyl glucosinolate","CHEBI_79329"
"Cytosine","CHEBI_16040"
"Guanine","CHEBI_16235"
"Theophylline","CHEBI_28177"
"Cyclosporin A","CHEBI_4031"
"Agaritine","CHEBI_15336"
"Avenanthramide A","CHEBI_2939"
"Choline sulfate","CHEBI_16822"
"Dianthalexin","CHEBI_4491"
"Folic acid","CHEBI_27470"
"Karakin","CHEBI_6112"
"Macrozamin","CHEBI_6628"
"Trigonelline","CHEBI_18123"
"Acetylcaranine","CHEBI_2415"
"Galanthamine;(-)-Galanthamine;Jilkon;Lycoremin;Lycoremine","CHEBI_42944"
"(-)-Galanthamine","CHEBI_42944"
"Galanthamine","CHEBI_42944"
"Jilkon","CHEBI_42944"
"Lycoremin","CHEBI_42944"
"Lycoremine","CHEBI_42944"
"Betanin","CHEBI_3080"
"Gomphrenin-V","CHEBI_5519"
"Miraxanthin III;Miraxanthin-III","CHEBI_6947"
"Miraxanthin III","CHEBI_6947"
"Miraxanthin-III","CHEBI_6947"
"Portulacaxanthin I","CHEBI_8340"
"Browniine","CHEBI_3187"
"Cuauchichicine","CHEBI_3934"
"Delcosine","CHEBI_4381"
"Delsoline","CHEBI_4385"
"Deltaline","CHEBI_4387"
"Finaconitine","CHEBI_5061"
"Karakoline","CHEBI_6113"
"Lycoctonine;(+)-Lycoctonine","CHEBI_6590"
"(+)-Lycoctonine","CHEBI_6590"
"Lycoctonine","CHEBI_6590"
"Luciculine;Napelline","CHEBI_7469"
"Luciculine","CHEBI_7469"
"Napelline","CHEBI_7469"
"Ajmalicine","CHEBI_2524"
"Alstonine","CHEBI_2612"
"(-)-Apparicine;Apparicine","CHEBI_78"
"(-)-Apparicine","CHEBI_78"
"Apparicine","CHEBI_78"
"Aricine","CHEBI_2821"
"Calligonine","CHEBI_3323"
"Chanoclavine-I","CHEBI_3576"
"(-)-Chimonanthine;Chimonanthin","CHEBI_87"
"(-)-Chimonanthine","CHEBI_87"
"Chimonanthin","CHEBI_87"
"(-)-Coronaridine;Coronaridine","CHEBI_3887"
"(-)-Coronaridine","CHEBI_3887"
"Coronaridine","CHEBI_3887"
"Cryptolepine","CHEBI_3930"
"Eburnamonine","CHEBI_4740"
"Elymoclavine","CHEBI_4777"
"Ergine;Lysergic acid amide","CHEBI_4819"
"Ergine","CHEBI_4819"
"Lysergic acid amide","CHEBI_4819"
"Ergosine","CHEBI_4823"
"Eseridine","CHEBI_4855"
"Gelsemicine","CHEBI_5293"
"Mahanimbine","CHEBI_6646"
"Melosatin A","CHEBI_6739"
"Murrayanine","CHEBI_69934"
"Rutaecarpine","CHEBI_8922"
"Sempervirine","CHEBI_9104"
"Tabernanthine","CHEBI_9386"
"Thienodolin","CHEBI_9543"
"Toxiferine I","CHEBI_9644"
"Trichotomine","CHEBI_9693"
"Vinblastine","CHEBI_27375"
"Adiantifoline","CHEBI_2487"
"Alamarine","CHEBI_2534"
"Alangicine","CHEBI_2535"
"Alangimarckine","CHEBI_2536"
"Allocryptopine;Thalictrimine;alpha-Allocryptopine;beta-Homochelidonine;alpha-Fagarine","CHEBI_17390"
"Allocryptopine","CHEBI_17390"
"Thalictrimine","CHEBI_17390"
"alpha-Allocryptopine","CHEBI_17390"
"alpha-Fagarine","CHEBI_17390"
"beta-Homochelidonine","CHEBI_17390"
"(-)-Anolobine;Anolobine","CHEBI_2742"
"(-)-Anolobine","CHEBI_2742"
"Anolobine","CHEBI_2742"
"Anonaine;(-)-Anonaine;(R)-Annonaine","CHEBI_76"
"(-)-Anonaine","CHEBI_76"
"(R)-Annonaine","CHEBI_76"
"Anonaine","CHEBI_76"
"Berberastine","CHEBI_3065"
"Bicuculline;(+)-Bicuculline;Bicucullin","CHEBI_3092"
"(+)-Bicuculline","CHEBI_3092"
"Bicucullin","CHEBI_3092"
"Bicuculline","CHEBI_3092"
"Bulbocapnine;d-Bulbocapnine","CHEBI_3211"
"Bulbocapnine","CHEBI_3211"
"d-Bulbocapnine","CHEBI_3211"
"(-)-Caaverine;Caaverine","CHEBI_84"
"(-)-Caaverine","CHEBI_84"
"Caaverine","CHEBI_84"
"Erythratidine","CHEBI_4839"
"beta-Erythroidine","CHEBI_27795"
"Eschscholtzidine;O-Methylcaryachine","CHEBI_4850"
"Eschscholtzidine","CHEBI_4850"
"O-Methylcaryachine","CHEBI_4850"
"Fetidine","CHEBI_5049"
"Heliamine","CHEBI_5637"
"Hernandezine","CHEBI_5677"
"(-)-alpha-Hydrastine;alpha-Hydrastine","CHEBI_126"
"(-)-alpha-Hydrastine","CHEBI_126"
"alpha-Hydrastine","CHEBI_126"
"Isochondodendrine;Isobebeerin;Isobebeerine","CHEBI_5996"
"Isobebeerin","CHEBI_5996"
"Isobebeerine","CHEBI_5996"
"Isochondodendrine","CHEBI_5996"
"Laudanosine;L-(+)-Laudanosine;L-Laudanosine;O-Methylcodamine","CHEBI_6389"
"L-(+)-Laudanosine","CHEBI_6389"
"L-Laudanosine","CHEBI_6389"
"Laudanosine","CHEBI_6389"
"O-Methylcodamine","CHEBI_6389"
"Oxyacanthine","CHEBI_7853"
"Palmatine;Berbericinine;Depiline;O,O-Dimethyldemethyleneberberine","CHEBI_16096"
"Berbericinine","CHEBI_16096"
"Depiline","CHEBI_16096"
"O,O-Dimethyldemethyleneberberine","CHEBI_16096"
"Palmatine","CHEBI_16096"
"Papaverine","CHEBI_28241"
"ProtopineBiflorine;Corydinine;Fumarin;Fumarine","CHEBI_16415"
"Corydinine","CHEBI_16415"
"Fumarin","CHEBI_16415"
"Fumarine","CHEBI_16415"
"ProtopineBiflorine","CHEBI_16415"
"Rhoeadine","CHEBI_8836"
"(+)-Tetrandrine;Tetrandrine","CHEBI_49"
